keyword,volume,kd,cpc,competition,intent,intent_secondary,seed
office chair cushion,1000,0,0.7,HIGH,transactional,,best office chair
white office chair,1000,0,1.45,HIGH,transactional,,best office chair
office clothes men,1000,0,1.26,HIGH,transactional,"commercial,informational",best office chair
best buy office chairs,880,3,0.99,HIGH,transactional,,best office chair
woodcroft strata office,880,0,7.93,LOW,navigational,,best office chair
office trailer,880,0,11.48,MEDIUM,informational,commercial,best office chair
meme office,880,0,,LOW,navigational,informational,best office chair
home office chair,880,21,1.93,HIGH,transactional,,best office chair
indeed work from home,880,0,2.23,LOW,informational,,best office chair
office chair ergonomic,880,11,2.64,HIGH,transactional,,best office chair
computer rack,880,0,3.39,LOW,transactional,,best office chair
oval office desk,880,13,1.11,LOW,navigational,,best office chair
used office furniture,880,0,2.41,MEDIUM,transactional,,best office chair
supreme office supplies,880,4,2.17,LOW,navigational,transactional,best office chair
computer stand,880,0,0.74,HIGH,transactional,,best office chair
l-shaped office desk,880,0,3.51,HIGH,transactional,,best office chair
computer desk with drawers,880,0,0.91,HIGH,transactional,,best office chair
office chair mat for carpet,880,0,0.9,HIGH,transactional,,best office chair
office interiors,880,21,7.83,MEDIUM,informational,commercial,best office chair
best office chairs canada,880,30,3.73,HIGH,commercial,,best office chair
office decor ideas,880,8,0.72,HIGH,informational,,best office chair
study chair,880,7,0.47,HIGH,transactional,,best office chair
computer desk canada,880,0,1.97,HIGH,navigational,,best office chair
best office,880,3,2.86,MEDIUM,navigational,"informational,commercial",best office chair
source office furniture calgary,880,0,1.26,MEDIUM,navigational,,best office chair
office setup,720,25,1.96,HIGH,commercial,"transactional,informational",best office chair
lumbar support for office chair,720,0,0.94,HIGH,transactional,,best office chair
cheap office chairs,720,1,0.93,HIGH,transactional,,best office chair
comfy office chair,720,7,0.9,HIGH,transactional,,best office chair
office work,720,14,1.44,LOW,informational,,best office chair
intelligent office,720,12,2.82,LOW,navigational,informational,best office chair
office pods,720,1,10.03,HIGH,transactional,,best office chair
home office design,720,27,1.33,HIGH,informational,commercial,best office chair
mesh office chair,720,0,2.4,HIGH,transactional,,best office chair
muskoka chair plans,720,0,0.61,HIGH,informational,"commercial,transactional",best office chair
pink office chair,720,0,0.9,HIGH,transactional,,best office chair
office cabinet,720,0,3.17,HIGH,transactional,,best office chair
the office lego set,720,0,0.22,HIGH,transactional,,best office chair
reclining office chair,720,0,1.16,HIGH,transactional,,best office chair
t2200 work from home,720,7,2.6,LOW,informational,,best office chair
office chairs calgary,720,0,2.4,HIGH,navigational,,best office chair
co-op office,720,51,2.37,LOW,navigational,,best office chair
gaming computer desk,720,0,1.5,HIGH,transactional,,best office chair
office chair with footrest,720,0,1.24,HIGH,transactional,,best office chair
office party,720,32,,LOW,informational,,best office chair
l shaped computer desk,720,0,1.66,HIGH,transactional,,best office chair
used office furniture calgary,720,0,1.04,HIGH,commercial,transactional,best office chair
massage office chair,720,0,1.38,HIGH,transactional,,best office chair
razer chair,720,0,0.67,HIGH,transactional,,best office chair
office desk canada,720,0,5.43,HIGH,navigational,commercial,best office chair
office chair wheels,720,0,0.84,HIGH,transactional,,best office chair
small office desk,720,0,1.16,HIGH,transactional,,best office chair
office suite,720,46,1.74,MEDIUM,transactional,"informational,navigational",best office chair
small office home office definition,720,1,,LOW,informational,,best office chair
computer chairs on sale,720,0,0.61,HIGH,transactional,,best office chair
office furniture calgary,720,0,4.49,HIGH,navigational,,best office chair
most comfortable office chair,590,19,1.77,HIGH,informational,commercial,best office chair
office plants,590,3,1.1,HIGH,transactional,commercial,best office chair
steelcase office chair,590,4,2.7,HIGH,transactional,,best office chair
trellis main office,590,13,,LOW,navigational,,best office chair
wayfair office chair,590,0,1.78,HIGH,transactional,navigational,best office chair
mobile office,590,0,9.46,MEDIUM,transactional,,best office chair
office chairs edmonton,590,0,2.03,HIGH,navigational,"commercial,transactional",best office chair
office desk with drawers,590,0,2.34,HIGH,transactional,,best office chair
office chairs toronto,590,0,4.6,HIGH,navigational,commercial,best office chair
used office chairs,590,0,2.1,HIGH,transactional,,best office chair
office moving,590,0,5.04,LOW,commercial,,best office chair
home office furniture,590,0,2.15,HIGH,transactional,"navigational,commercial",best office chair
work chair,590,8,2.73,HIGH,transactional,,best office chair
long desk,590,0,0.92,HIGH,transactional,,best office chair
comfy desk chair,590,13,0.6,HIGH,transactional,,best office chair
office furniture stores,590,1,5.26,LOW,commercial,,best office chair
gaming desk chair,590,15,0.92,HIGH,transactional,,best office chair
computer desk walmart,590,0,0.19,HIGH,transactional,navigational,best office chair
office storage,590,0,1.85,HIGH,transactional,commercial,best office chair
task chair,590,0,3.07,HIGH,transactional,,best office chair
office chair cover,590,0,0.42,HIGH,transactional,,best office chair
mcm chair,590,0,1.05,HIGH,transactional,,best office chair
scentsy canada workstation,590,21,3.27,LOW,navigational,,best office chair
office drawers,590,0,1.21,HIGH,transactional,,best office chair
atwork office furniture,590,0,2.26,HIGH,navigational,,best office chair
office couch,590,0,3.29,HIGH,transactional,,best office chair
staples computer desk,590,0,0.6,HIGH,transactional,,best office chair
best budget office chair,590,24,1.82,HIGH,commercial,transactional,best office chair
white desk chair,590,0,0.87,HIGH,transactional,,best office chair
portable office,590,0,8.62,HIGH,transactional,,best office chair
serta office chair,590,0,0.68,HIGH,transactional,,best office chair
office furniture edmonton,590,0,4.04,HIGH,navigational,,best office chair
corner computer desk,590,0,0.91,HIGH,transactional,,best office chair
comfy computer chair,590,16,0.6,HIGH,transactional,,best office chair
brown leather office chair,480,0,3.2,HIGH,transactional,,best office chair
office dividers,480,0,7.27,HIGH,transactional,,best office chair
used office furniture toronto,480,19,2.75,HIGH,commercial,transactional,best office chair
office chair on sale,480,0,1.25,HIGH,transactional,,best office chair
best home office chair,480,20,3.71,HIGH,commercial,,best office chair
shared office space,480,13,11.57,LOW,commercial,informational,best office chair
office desk chair,480,0,3.03,HIGH,transactional,,best office chair
folding office chair,480,0,0.95,HIGH,transactional,,best office chair
kids desk and chair set,480,0,0.84,HIGH,transactional,,best office chair
regus office space,480,0,9.44,MEDIUM,navigational,,best office chair
office chairs vancouver,480,0,3.9,HIGH,navigational,commercial,best office chair
evergreen office spaces,480,1,0.93,LOW,navigational,,best office chair
ergonomic office chair canada,480,1,3.96,HIGH,navigational,,best office chair
source office furniture vancouver,480,0,0.92,MEDIUM,navigational,,best office chair
office ideas,480,28,1.12,HIGH,informational,commercial,best office chair
stones office,480,0,4.25,LOW,navigational,,best office chair
office rug,480,0,1.29,HIGH,transactional,,best office chair
home office setup,480,13,1.1,HIGH,informational,,best office chair
meme office space,480,0,,LOW,navigational,informational,best office chair
pam office,480,33,,LOW,navigational,,best office chair
vancouver office chairs,480,0,3.9,HIGH,navigational,"transactional,commercial",best office chair
murphy bed with desk canada,480,0,1.24,HIGH,navigational,transactional,best office chair
ergonomic desk setup,480,10,2.1,HIGH,informational,,best office chair
staples computer chair,480,0,0.47,HIGH,transactional,,best office chair
home office desk canada,480,0,2.53,HIGH,navigational,,best office chair
office lamp,480,0,1.08,HIGH,transactional,,best office chair
milton office space,480,11,11.21,LOW,navigational,,best office chair
small office ideas for home,480,28,0.65,HIGH,informational,,best office chair
office,110000,98,0.79,LOW,informational,,ergonomic office chair
office chair,33100,16,1.68,HIGH,transactional,,ergonomic office chair
chair,27100,14,0.85,HIGH,transactional,informational,ergonomic office chair
office space,18100,23,8.03,LOW,commercial,informational,ergonomic office chair
ergonomic chairs,14800,4,1.77,HIGH,transactional,,ergonomic office chair
ergonomic chair,14800,1,1.76,HIGH,transactional,,ergonomic office chair
desk chair,9900,9,1.05,HIGH,transactional,,ergonomic office chair
computer desk,9900,2,0.97,HIGH,transactional,,ergonomic office chair
office desk,9900,0,3.16,HIGH,transactional,,ergonomic office chair
the office movers,8100,6,,LOW,commercial,,ergonomic office chair
open office,8100,70,0.78,LOW,informational,navigational,ergonomic office chair
the office moving,8100,5,,LOW,navigational,"informational,commercial",ergonomic office chair
staples office chairs,6600,0,0.91,HIGH,transactional,,ergonomic office chair
office furniture,5400,3,15.72,HIGH,transactional,commercial,ergonomic office chair
computer chair,5400,10,0.97,HIGH,transactional,,ergonomic office chair
secret labs chair,5400,23,0.44,HIGH,transactional,,ergonomic office chair
best office chairs,4400,17,3.77,HIGH,commercial,transactional,ergonomic office chair
erin office,4400,17,,LOW,navigational,,ergonomic office chair
source office furniture,4400,13,1.1,HIGH,navigational,,ergonomic office chair
office pools guest,4400,15,0.03,LOW,navigational,,ergonomic office chair
office customization tool,3600,15,3.95,LOW,informational,"commercial,navigational",ergonomic office chair
monk office,3600,9,4.5,LOW,informational,navigational,ergonomic office chair
return to office,2900,0,,LOW,informational,,ergonomic office chair
the office grind,2900,0,0.05,LOW,informational,,ergonomic office chair
home office desk,2900,0,2.04,HIGH,transactional,,ergonomic office chair
office chairs canada,2900,0,3.01,HIGH,navigational,"commercial,transactional",ergonomic office chair
structube chairs,2900,0,0.28,HIGH,transactional,,ergonomic office chair
toby office,2900,13,,LOW,navigational,,ergonomic office chair
creed bratton office,2900,11,,LOW,navigational,,ergonomic office chair
standing desk canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",ergonomic office chair
lazyboy office chair,2400,0,1.5,HIGH,transactional,,ergonomic office chair
standing desks canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",ergonomic office chair
the brick corporate office,2400,0,1.08,LOW,navigational,,ergonomic office chair
home office ideas,1900,23,0.86,HIGH,informational,,ergonomic office chair
office unicity,1900,0,,LOW,navigational,,ergonomic office chair
kids desk chair,1900,0,0.64,HIGH,transactional,,ergonomic office chair
home office,1900,50,1.53,HIGH,informational,,ergonomic office chair
staples desks,1900,5,1.27,HIGH,transactional,,ergonomic office chair
office table,1900,0,1.87,HIGH,transactional,,ergonomic office chair
denis office supplies,1900,0,5.32,LOW,navigational,,ergonomic office chair
office chair mat,1900,0,1.15,HIGH,transactional,,ergonomic office chair
gabe office,1900,12,,LOW,navigational,,ergonomic office chair
herman miller office chair,1900,6,1.78,HIGH,transactional,,ergonomic office chair
best ergonomic office chair,1600,14,3.97,HIGH,commercial,transactional,ergonomic office chair
office background,1600,0,0.17,LOW,informational,commercial,ergonomic office chair
heritage office furnishings,1600,8,12.49,LOW,navigational,,ergonomic office chair
meredith office,1600,22,,LOW,navigational,,ergonomic office chair
office chair sale,1600,0,1.03,HIGH,transactional,,ergonomic office chair
metropolitan office,1600,17,,LOW,navigational,,ergonomic office chair
office cleaning,1600,16,7.44,LOW,informational,,ergonomic office chair
out of office,1600,11,0.21,LOW,informational,,ergonomic office chair
chair source,1600,0,4.54,HIGH,informational,,ergonomic office chair
office chairs canadian tire,1300,0,0.67,HIGH,navigational,transactional,ergonomic office chair
office chair no wheels,1300,0,1.06,HIGH,transactional,,ergonomic office chair
outlook out of office,1300,7,,LOW,informational,,ergonomic office chair
walmart office chairs,1300,9,0.31,HIGH,transactional,,ergonomic office chair
christie's office plus,1300,0,0.19,LOW,navigational,"informational,commercial",ergonomic office chair
madill office,1300,0,21.84,LOW,navigational,,ergonomic office chair
office cubicle,1300,0,12.02,HIGH,transactional,,ergonomic office chair
suite office,1300,57,2.19,MEDIUM,navigational,,ergonomic office chair
darryl office,1300,16,,LOW,navigational,,ergonomic office chair
karen office,1300,9,,LOW,navigational,"informational,commercial",ergonomic office chair
office decor,1300,0,0.67,HIGH,commercial,"transactional,informational",ergonomic office chair
office for men,1300,0,0.25,HIGH,informational,commercial,ergonomic office chair
office move pro,1300,5,3.63,LOW,transactional,commercial,ergonomic office chair
office building,1000,11,3.75,LOW,informational,"navigational,commercial",ergonomic office chair
structube office chair,1000,0,0.55,HIGH,transactional,,ergonomic office chair
mose office,1000,4,,LOW,navigational,,ergonomic office chair
source office furniture edmonton,1000,0,1.22,MEDIUM,navigational,,ergonomic office chair
ergonomic desk,1000,0,2.76,HIGH,transactional,,ergonomic office chair
the office dinner party,1000,16,,LOW,informational,,ergonomic office chair
office chair amazon,1000,0,0.5,HIGH,transactional,,ergonomic office chair
dinner party office,1000,9,,LOW,commercial,"informational,transactional",ergonomic office chair
td return to office,1000,3,,LOW,informational,navigational,ergonomic office chair
ergonomic desk chair,1000,0,2.22,HIGH,transactional,,ergonomic office chair
comfortable office chair,1000,14,1.51,HIGH,transactional,,ergonomic office chair
ergocentric chairs,1000,9,1.59,HIGH,transactional,,ergonomic office chair
dinner party the office,1000,15,,LOW,commercial,informational,ergonomic office chair
leather office chair,1000,0,2.25,HIGH,transactional,,ergonomic office chair
small computer desk,1000,0,0.65,HIGH,transactional,,ergonomic office chair
sit stand desk canada,1000,0,5.5,HIGH,navigational,,ergonomic office chair
office chair cushion,1000,0,0.7,HIGH,transactional,,ergonomic office chair
white office chair,1000,0,1.45,HIGH,transactional,,ergonomic office chair
office clothes men,1000,0,1.26,HIGH,transactional,"commercial,informational",ergonomic office chair
best buy office chairs,880,3,0.99,HIGH,transactional,,ergonomic office chair
woodcroft strata office,880,0,7.93,LOW,navigational,,ergonomic office chair
office trailer,880,0,11.48,MEDIUM,informational,commercial,ergonomic office chair
meme office,880,0,,LOW,navigational,informational,ergonomic office chair
home office chair,880,21,1.93,HIGH,transactional,,ergonomic office chair
office chair ergonomic,880,11,2.64,HIGH,transactional,,ergonomic office chair
computer rack,880,0,3.39,LOW,transactional,,ergonomic office chair
oval office desk,880,13,1.11,LOW,navigational,,ergonomic office chair
used office furniture,880,0,2.41,MEDIUM,transactional,,ergonomic office chair
supreme office supplies,880,4,2.17,LOW,navigational,transactional,ergonomic office chair
computer stand,880,0,0.74,HIGH,transactional,,ergonomic office chair
l-shaped office desk,880,0,3.51,HIGH,transactional,,ergonomic office chair
computer desk with drawers,880,0,0.91,HIGH,transactional,,ergonomic office chair
office chair mat for carpet,880,0,0.9,HIGH,transactional,,ergonomic office chair
office interiors,880,21,7.83,MEDIUM,informational,commercial,ergonomic office chair
chaise de bureau costco,880,0,0.91,HIGH,transactional,,ergonomic office chair
best office chairs canada,880,30,3.73,HIGH,commercial,,ergonomic office chair
office decor ideas,880,8,0.72,HIGH,informational,,ergonomic office chair
study chair,880,7,0.47,HIGH,transactional,,ergonomic office chair
costco chaise de bureau,880,0,0.91,HIGH,transactional,,ergonomic office chair
computer desk canada,880,0,1.97,HIGH,navigational,,ergonomic office chair
best office,880,3,2.86,MEDIUM,navigational,"informational,commercial",ergonomic office chair
source office furniture calgary,880,0,1.26,MEDIUM,navigational,,ergonomic office chair
office setup,720,25,1.96,HIGH,commercial,"transactional,informational",ergonomic office chair
lumbar support for office chair,720,0,0.94,HIGH,transactional,,ergonomic office chair
cheap office chairs,720,1,0.93,HIGH,transactional,,ergonomic office chair
comfy office chair,720,7,0.9,HIGH,transactional,,ergonomic office chair
office work,720,14,1.44,LOW,informational,,ergonomic office chair
intelligent office,720,12,2.82,LOW,navigational,informational,ergonomic office chair
office pods,720,1,10.03,HIGH,transactional,,ergonomic office chair
home office design,720,27,1.33,HIGH,informational,commercial,ergonomic office chair
mesh office chair,720,0,2.4,HIGH,transactional,,ergonomic office chair
muskoka chair plans,720,0,0.61,HIGH,informational,"commercial,transactional",ergonomic office chair
pink office chair,720,0,0.9,HIGH,transactional,,ergonomic office chair
office cabinet,720,0,3.17,HIGH,transactional,,ergonomic office chair
the office lego set,720,0,0.22,HIGH,transactional,,ergonomic office chair
reclining office chair,720,0,1.16,HIGH,transactional,,ergonomic office chair
office chairs calgary,720,0,2.4,HIGH,navigational,,ergonomic office chair
co-op office,720,51,2.37,LOW,navigational,,ergonomic office chair
gaming computer desk,720,0,1.5,HIGH,transactional,,ergonomic office chair
office chair with footrest,720,0,1.24,HIGH,transactional,,ergonomic office chair
office party,720,32,,LOW,informational,,ergonomic office chair
l shaped computer desk,720,0,1.66,HIGH,transactional,,ergonomic office chair
used office furniture calgary,720,0,1.04,HIGH,commercial,transactional,ergonomic office chair
massage office chair,720,0,1.38,HIGH,transactional,,ergonomic office chair
bureau de travail costco,720,0,0.95,HIGH,commercial,"navigational,transactional",ergonomic office chair
razer chair,720,0,0.67,HIGH,transactional,,ergonomic office chair
office desk canada,720,0,5.43,HIGH,navigational,commercial,ergonomic office chair
office chair wheels,720,0,0.84,HIGH,transactional,,ergonomic office chair
staples standing desk,720,0,1.5,HIGH,transactional,,ergonomic office chair
small office desk,720,0,1.16,HIGH,transactional,,ergonomic office chair
office suite,720,46,1.74,MEDIUM,transactional,"informational,navigational",ergonomic office chair
small office home office definition,720,1,,LOW,informational,,ergonomic office chair
computer chairs on sale,720,0,0.61,HIGH,transactional,,ergonomic office chair
office furniture calgary,720,0,4.49,HIGH,navigational,,ergonomic office chair
most comfortable office chair,590,19,1.77,HIGH,informational,commercial,ergonomic office chair
office plants,590,3,1.1,HIGH,transactional,commercial,ergonomic office chair
steelcase office chair,590,4,2.7,HIGH,transactional,,ergonomic office chair
trellis main office,590,13,,LOW,navigational,,ergonomic office chair
wayfair office chair,590,0,1.78,HIGH,transactional,navigational,ergonomic office chair
mobile office,590,0,9.46,MEDIUM,transactional,,ergonomic office chair
office chairs edmonton,590,0,2.03,HIGH,navigational,"commercial,transactional",ergonomic office chair
office desk with drawers,590,0,2.34,HIGH,transactional,,ergonomic office chair
office chairs toronto,590,0,4.6,HIGH,navigational,commercial,ergonomic office chair
used office chairs,590,0,2.1,HIGH,transactional,,ergonomic office chair
office moving,590,0,5.04,LOW,commercial,,ergonomic office chair
home office furniture,590,0,2.15,HIGH,transactional,"navigational,commercial",ergonomic office chair
work chair,590,8,2.73,HIGH,transactional,,ergonomic office chair
long desk,590,0,0.92,HIGH,transactional,,ergonomic office chair
comfy desk chair,590,13,0.6,HIGH,transactional,,ergonomic office chair
office furniture stores,590,1,5.26,LOW,commercial,,ergonomic office chair
gaming desk chair,590,15,0.92,HIGH,transactional,,ergonomic office chair
computer desk walmart,590,0,0.19,HIGH,transactional,navigational,ergonomic office chair
office storage,590,0,1.85,HIGH,transactional,commercial,ergonomic office chair
task chair,590,0,3.07,HIGH,transactional,,ergonomic office chair
office chair cover,590,0,0.42,HIGH,transactional,,ergonomic office chair
staples studio ottawa coworking space,590,5,,LOW,navigational,,ergonomic office chair
mcm chair,590,0,1.05,HIGH,transactional,,ergonomic office chair
scentsy canada workstation,590,21,3.27,LOW,navigational,,ergonomic office chair
office drawers,590,0,1.21,HIGH,transactional,,ergonomic office chair
atwork office furniture,590,0,2.26,HIGH,navigational,,ergonomic office chair
office couch,590,0,3.29,HIGH,transactional,,ergonomic office chair
staples computer desk,590,0,0.6,HIGH,transactional,,ergonomic office chair
best desk chairs,590,15,4.46,HIGH,commercial,transactional,ergonomic office chair
best budget office chair,590,24,1.82,HIGH,commercial,transactional,ergonomic office chair
white desk chair,590,0,0.87,HIGH,transactional,,ergonomic office chair
portable office,590,0,8.62,HIGH,transactional,,ergonomic office chair
calgary coworking space,590,22,10.48,MEDIUM,navigational,,ergonomic office chair
serta office chair,590,0,0.68,HIGH,transactional,,ergonomic office chair
office furniture edmonton,590,0,4.04,HIGH,navigational,,ergonomic office chair
corner computer desk,590,0,0.91,HIGH,transactional,,ergonomic office chair
comfy computer chair,590,16,0.6,HIGH,transactional,,ergonomic office chair
brown leather office chair,480,0,3.2,HIGH,transactional,,ergonomic office chair
office dividers,480,0,7.27,HIGH,transactional,,ergonomic office chair
chairs clipart,480,0,,LOW,transactional,informational,ergonomic office chair
used office furniture toronto,480,19,2.75,HIGH,commercial,transactional,ergonomic office chair
office chair on sale,480,0,1.25,HIGH,transactional,,ergonomic office chair
best home office chair,480,20,3.71,HIGH,commercial,,ergonomic office chair
shared office space,480,13,11.57,LOW,commercial,informational,ergonomic office chair
office desk chair,480,0,3.03,HIGH,transactional,,ergonomic office chair
folding office chair,480,0,0.95,HIGH,transactional,,ergonomic office chair
kids desk and chair set,480,0,0.84,HIGH,transactional,,ergonomic office chair
regus office space,480,0,9.44,MEDIUM,navigational,,ergonomic office chair
office chairs vancouver,480,0,3.9,HIGH,navigational,commercial,ergonomic office chair
evergreen office spaces,480,1,0.93,LOW,navigational,,ergonomic office chair
ergonomic office chair canada,480,1,3.96,HIGH,navigational,,ergonomic office chair
source office furniture vancouver,480,0,0.92,MEDIUM,navigational,,ergonomic office chair
office ideas,480,28,1.12,HIGH,informational,commercial,ergonomic office chair
stones office,480,0,4.25,LOW,navigational,,ergonomic office chair
office rug,480,0,1.29,HIGH,transactional,,ergonomic office chair
home office setup,480,13,1.1,HIGH,informational,,ergonomic office chair
meme office space,480,0,,LOW,navigational,informational,ergonomic office chair
pam office,480,33,,LOW,navigational,,ergonomic office chair
vancouver office chairs,480,0,3.9,HIGH,navigational,"transactional,commercial",ergonomic office chair
murphy bed with desk canada,480,0,1.24,HIGH,navigational,transactional,ergonomic office chair
ergonomic desk setup,480,10,2.1,HIGH,informational,,ergonomic office chair
desk,33100,0,1.18,HIGH,transactional,informational,standing desk
desk chair,9900,9,1.05,HIGH,transactional,,standing desk
computer desk,9900,2,0.97,HIGH,transactional,,standing desk
office desk,9900,0,3.16,HIGH,transactional,,standing desk
gaming desk,8100,0,1.3,HIGH,transactional,,standing desk
l shaped desk,8100,0,2.03,HIGH,transactional,,standing desk
staples office chairs,6600,0,0.91,HIGH,transactional,,standing desk
desk lamp,6600,0,0.58,HIGH,transactional,,standing desk
corner desk,5400,0,1.05,HIGH,transactional,,standing desk
vanity desk,4400,0,0.62,HIGH,transactional,,standing desk
desk organizer,4400,0,0.79,HIGH,transactional,,standing desk
sit stand desk,4400,0,3.39,HIGH,transactional,,standing desk
under desk treadmill,3600,3,1.05,HIGH,transactional,,standing desk
small desk,3600,3,0.69,HIGH,transactional,,standing desk
cocobolo desk,3600,0,0.34,MEDIUM,transactional,,standing desk
lap desk,3600,0,0.46,HIGH,transactional,,standing desk
desk mat,3600,0,0.82,HIGH,transactional,,standing desk
reception desk,2900,0,4.37,HIGH,navigational,"informational,commercial",standing desk
murphy bed with desk,2900,0,0.83,HIGH,transactional,,standing desk
loft bed with desk,2900,0,0.79,HIGH,transactional,,standing desk
kids desk,2900,0,0.75,HIGH,transactional,,standing desk
wooden desk,2900,0,1.1,HIGH,transactional,,standing desk
home office desk,2900,0,2.04,HIGH,transactional,,standing desk
office chairs canada,2900,0,3.01,HIGH,navigational,"commercial,transactional",standing desk
white desk,2400,0,1.04,HIGH,transactional,,standing desk
standing desk canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",standing desk
standing desks canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",standing desk
desk treadmill,2400,1,0.83,HIGH,transactional,,standing desk
desk with drawers,1900,0,0.9,HIGH,transactional,,standing desk
stand up desk,1900,12,3.59,HIGH,transactional,,standing desk
desk shelf,1900,0,0.69,HIGH,transactional,,standing desk
secret labs desk,1900,19,0.65,HIGH,transactional,,standing desk
