page,keyword,volume,kd,cpc,intent,position,etv,url_ranked,is_featured_snippet
bba-small-biz,best business banking banks,170,1,26.15999984741211,commercial,5,8.0,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,small business banking,390,43,27.030000686645508,commercial,8,7.7,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,canadian business banking,170,27,32.689998626708984,commercial,5,7.3,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,small business bank account,480,6,25.190000534057617,commercial,9,7.2,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,canadian business bank account,590,13,28.690000534057617,commercial,10,6.7,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,which bank is good for business account,140,0,20.100000381469727,commercial,5,6.6,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best bank for business account canada,720,0,20.75,commercial,11,6.6,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,business account in canada,320,10,27.90999984741211,commercial,8,6.3,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best business account for small business,170,3,22.270000457763672,commercial,6,5.7,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best for business banking,170,10,26.15999984741211,commercial,6,5.7,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,small business best bank,210,2,24.549999237060547,commercial,7,5.4,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best business checking accounts,590,1,22.510000228881836,commercial,11,5.4,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best bank to open a business account,110,6,19.450000762939453,commercial,5,5.2,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,which bank is best for business account in canada,50,18,21.18000030517578,commercial,3,4.9,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,bank account for small business,480,19,25.190000534057617,commercial,11,4.4,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best business banking,170,6,26.15999984741211,commercial,7,4.4,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best business bank account canada,720,0,20.75,commercial,13,4.2,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,canada business bank,170,21,32.689998626708984,navigational,7,4.2,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best small business bank,210,0,24.549999237060547,commercial,8,4.1,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best canadian business bank account,720,2,20.75,commercial,14,4.0,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best small business account canada,110,0,18.81999969482422,commercial,6,3.7,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best bank for business canada,170,12,26.239999771118164,commercial,8,3.3,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best banks for small business accounts,210,0,16.100000381469727,commercial,9,3.2,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best business account,110,13,17.010000228881836,commercial,7,2.8,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,which bank business account is best,140,0,20.100000381469727,commercial,8,2.8,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,which bank is the best for business account,140,0,20.100000381469727,commercial,9,2.1,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best small business bank account canada,390,1,17.950000762939453,commercial,15,2.0,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,business bank account canada,720,11,25.68000030517578,commercial,19,1.8,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best business accounts for small business canada,110,0,18.81999969482422,commercial,9,1.6,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,business accounts best,110,4,17.010000228881836,navigational,9,1.6,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,small business bank account canada,140,6,19.65999984741211,informational,10,1.6,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,business banking in canada,170,53,32.689998626708984,commercial,11,1.5,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best business banking canada,170,0,26.239999771118164,commercial,12,1.3,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best business account in canada,210,0,21.15999984741211,commercial,13,1.2,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,free business banking,70,6,11.479999542236328,commercial,9,1.0,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,open a small business bank account,70,6,35.83000183105469,transactional,9,1.0,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,business bank accounts canada,90,7,51.709999084472656,commercial,10,1.0,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best business bank account,140,10,13.930000305175781,commercial,14,0.8,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,cheapest business bank account canada,90,2,17.079999923706055,commercial,12,0.7,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best business accounts,110,6,17.010000228881836,commercial,13,0.6,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,banks that offer business accounts,110,10,17.610000610351562,commercial,15,0.6,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,banking for business,70,16,54.209999084472656,commercial,12,0.5,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,business bank account fees,70,5,4.809999942779541,commercial,12,0.5,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,business bank account charges,70,5,4.809999942779541,commercial,14,0.4,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,opening a small business bank account,70,20,35.83000183105469,transactional,14,0.4,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,business account bank offers,110,15,17.610000610351562,commercial,19,0.3,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,no fee business bank account canada,90,6,14.029999732971191,commercial,18,0.3,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,business bank account offers,110,13,17.610000610351562,commercial,20,0.3,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best business checking account,30,10,51.20000076293945,commercial,13,0.2,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,open a bank account for small business,70,14,35.83000183105469,transactional,26,0.1,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,canada small business banking,50,64,46.84000015258789,commercial,28,0.1,/resources/best-business-bank-accounts-in-canada-for-small-business,False
sole-prop,business bank account for sole proprietor,390,8,21.25,informational,3,37.9,/resources/best-bank-account-for-sole-proprietorships-in-canada,False
sole-prop,business bank account sole proprietor,390,18,21.25,informational,3,37.9,/resources/best-bank-account-for-sole-proprietorships-in-canada,False
sole-prop,sole proprietor business bank account,390,18,21.25,informational,4,25.7,/resources/best-bank-account-for-sole-proprietorships-in-canada,False
sole-prop,sole proprietorship account,90,24,21.260000228881836,informational,3,8.8,/resources/best-bank-account-for-sole-proprietorships-in-canada,False
sole-prop,sole proprietor account,90,21,21.260000228881836,navigational,4,5.9,/resources/best-bank-account-for-sole-proprietorships-in-canada,False
sole-prop,proprietorship account,90,25,21.260000228881836,navigational,5,4.2,/resources/best-bank-account-for-sole-proprietorships-in-canada,False
sole-prop,sole proprietorship bank account,50,4,26.799999237060547,informational,4,3.3,/resources/best-bank-account-for-sole-proprietorships-in-canada,False
sole-prop,does a business need a business bank account,70,0,17.1299991607666,informational,5,3.3,/resources/best-bank-account-for-sole-proprietorships-in-canada,False
no-monthly-fees,free business bank account canada,260,0,14.270000457763672,commercial,10,2.9,/resources/business-bank-accounts-in-canada-with-no-monthly-fees,False
no-monthly-fees,no fee business accounts,110,0,13,commercial,7,2.8,/resources/business-bank-accounts-in-canada-with-no-monthly-fees,False
no-monthly-fees,no fee business account,110,9,13,commercial,14,0.6,/resources/business-bank-accounts-in-canada-with-no-monthly-fees,False
no-monthly-fees,business account no fees,110,0,13,commercial,19,0.3,/resources/business-bank-accounts-in-canada-with-no-monthly-fees,False
online-bba,online banking for businesses,720,25,19.459999084472656,commercial,9,10.8,/resources/best-online-business-bank-account-in-canada,False
online-bba,online bank account for business,260,9,64.5199966430664,commercial,8,5.1,/resources/best-online-business-bank-account-in-canada,False
online-bba,business online account,110,1,60.95000076293945,navigational,6,3.7,/resources/best-online-business-bank-account-in-canada,False
online-bba,business bank account online,260,10,64.5199966430664,navigational,10,2.9,/resources/best-online-business-bank-account-in-canada,False
online-bba,business bank accounts in canada,590,10,28.690000534057617,commercial,18,1.9,/resources/best-online-business-bank-account-in-canada,False
online-bba,online business bank account canada,70,6,57.7400016784668,commercial,9,1.0,/resources/best-online-business-bank-account-in-canada,False
online-bba,online business account,110,13,60.95000076293945,navigational,11,1.0,/resources/best-online-business-bank-account-in-canada,False
online-bba,online business checking account,260,17,64.5199966430664,commercial,20,0.6,/resources/best-online-business-bank-account-in-canada,False
online-bba,open business account online canada,140,17,52.349998474121094,transactional,16,0.6,/resources/best-online-business-bank-account-in-canada,False
startups,starting business bank account,720,0,40.209999084472656,commercial,7,18.4,/resources/best-business-banking-accounts-in-canada-for-startups,False
startups,bank for business,70,53,54.209999084472656,commercial,30,0.1,/resources/best-business-banking-accounts-in-canada-for-startups,False
reviews-2025,venn reviews,70,0,,informational,3,6.8,/resources/venns-2025-reviews,False
