rank,product_id,handle,title,vendor,price_max,confidence,score,tier,recommended_subs,recommended_brand,detected_line,detected_model,tier_a_enriched,inventory_status,reason
100,9688173543737,screenflex-5-panel-mobile-light-duty-portable-room-divider-65h-x-95w-fabric-color-stone,"Screenflex 5 panel mobile light-duty portable room divider, 6'5""h x 9'5""w, fabric color: stone — 5""",Brant Business Interiors,1699.99,low,6,B-WORTH-IT,room-dividers-panels-dividers | otg-panels | panels-dividers,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
101,10086763954489,lateral-file-storage-cabinet-with-shelves-copy,Lateral file & storage cabinet with shelves,Brant Business Interiors,1683.0,high,6,B-WORTH-IT,storage | lateral-file-cabinets-storage | fire-resistant-file-cabinets-storage,Brant Business Interiors,,,N,in-stock-400,+5 price>=500; +1 metafields present
102,9469546103097,management-l-shaped-suite-66w-x-72d,"Management ""l"" shaped suite - 66""w x 72""d — 72""",Brant Business Interiors,1649.99,low,6,B-WORTH-IT,room-open-plan | air-quality-management | boardroom-conference-meeting,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
103,9722809811257,storage-right-ff-sc-left-wardrobe,Storage / right ff & sc / left wardrobe,Brant Business Interiors,1622.0,med,6,B-WORTH-IT,storage | wardrobe-storage | gfg-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
104,9469554262329,indoor-planter,Indoor planter,Brant Business Interiors,1600.0,med,6,B-WORTH-IT,planters | room-private-office | air-quality-management,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
105,9722772357433,storage-cabinet-credenza-72w-x-24d,"Storage cabinet credenza, 72""w x 24""d — 24""",Brant Business Interiors,1503.82,high,6,B-WORTH-IT,storage | credenzas | gfg-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
106,9676178981177,ml-series-lounge-chair,Ml series lounge chair,Brant Business Interiors,1499.99,med,6,B-WORTH-IT,lounge | reception-side-guest-chairs | stools-drafting-chairs,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
107,9751461036345,credenza-storage-hutch,Credenza storage & hutch,Brant Business Interiors,1449.99,high,6,B-WORTH-IT,credenzas | storage | pedestal-drawers-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
108,9800687845689,levels-l-shape,Levels l-shape,Brant Business Interiors,1449.99,med,6,B-WORTH-IT,l-shape-desks | desks | gfg-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
109,9832223867193,felt-acoustic-wall-tiles,Felt acoustic wall tiles,Brant Business Interiors,1399.99,med,6,B-WORTH-IT,walls,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
110,9693081895225,felt-sound-dampeners,Felt sound dampeners,Brant Business Interiors,1399.99,low,6,B-WORTH-IT,sound-dampeners | l-shape | u-shape-desks-desks,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
111,9726668308793,l-shaped-desk-with-double-pedestals-72w-x-78d,"""l"" shaped desk with double pedestals - 72""w x 78""d — 78""",Brant Business Interiors,1376.0,med,6,B-WORTH-IT,desks | pedestals | storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
112,9855858245945,height-adjustable-l-shape-table-1,Height adjustable l-shape table,Brant Business Interiors,1369.99,med,6,B-WORTH-IT,height-adjustable-tables | l-shape-desks | desks,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
113,9911124263225,contemporary-metal-desk,Contemporary metal desk,Brant Business Interiors,1349.0,med,6,B-WORTH-IT,desks | bar-height-tables | laminate-bookcases,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
114,9795576660281,manual-height-adjustable-table,Manual height adjustable table,Brant Business Interiors,1348.0,med,6,B-WORTH-IT,desk-top-sit-stand | height-adjustable-tables | desktop-sit-stand,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
115,9788103917881,credenza-with-sliding-doors-36-high,"Credenza with sliding doors 36"" high — 36""",Brant Business Interiors,1329.99,high,6,B-WORTH-IT,credenzas | storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
116,9855829967161,l-shape-suire,L-shape suite — HTWLEV1LOOP,Brant Business Interiors,1319.99,med,6,B-WORTH-IT,l-shape-desks | desks | gfg-desks,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
117,9749031158073,partitions-66-high,"Partitions 66"" high — 66""",Brant Business Interiors,1299.99,low,6,B-WORTH-IT,medium-back-seating | panels-partitions | otg-panels,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
118,9788589900089,lateral-file-wood-laminate-2-3-4-drawer-options,"Lateral file wood laminate (2, 3 & 4 drawer options) — 4 drawer",Brant Business Interiors,1299.69,low,6,B-WORTH-IT,lateral-file-cabinets-storage | fire-resistant-file-cabinets | laminate-bookcases,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
119,9455233368377,desk-l-shape-with-drawers,Desk l-shape with drawers,Brant Business Interiors,1299.0,high,6,B-WORTH-IT,desks | pedestal-drawers-storage | l-shape-desks,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
120,9726665031993,u-shaped-desk-72w-x-96d,"""u"" shaped desk - 72""w x 96""d — 96""",Brant Business Interiors,1296.59,med,6,B-WORTH-IT,desks | room-open-plan | boardroom-conference-meeting,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
121,9690784596281,lockers-single-tier-assembled,Lockers single tier (assembled),Brant Business Interiors,1289.99,med,6,B-WORTH-IT,lockers | storage-cabinets-lockers,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
122,9859466658105,credenza-storage-storage-with-locks,Credenza storage / storage with locks,Brant Business Interiors,1279.99,high,6,B-WORTH-IT,storage | credenzas | gfg-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
123,9782444425529,standard-lateral-files-2-3-4-5-drawers,"Standard lateral files (2,3,4 & 5 drawers) — 5 drawers",Brant Business Interiors,1229.99,low,6,B-WORTH-IT,lateral-files-storage | metal-vertical-files | gfg-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
124,9747754320185,levels-suite,Levels suite,Brant Business Interiors,1199.99,med,6,B-WORTH-IT,l-shape-desks | desks | office-furniture,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
125,9893580931385,bungee-tables-rectangular-flip-top-table-spider-legs-wheels,"Bungee tables rectangular flip-top table, spider legs, wheels",Brant Business Interiors,1036.0,med,6,B-WORTH-IT,tables | training-flip-top-tables | gfg-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
126,9726671814969,l-shaped-desk-with-single-pedestal-60w-x-72d,"""l"" shaped desk with single pedestal - 60""w x 72""d — 72""",Brant Business Interiors,1027.0,med,6,B-WORTH-IT,desks | pedestal-drawers-storage | storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
127,9746802016569,installation1000,Installation1000,Brant Business Interiors,1000.0,low,6,B-WORTH-IT,office-furniture | room-private-office | furniture,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
128,9776398729529,deep-hi-boy-storage-cabinet-72-h-x-36-w-x-24-d,"Deep hi-boy storage cabinet 72"" h x 36"" w x 24"" d — 24""",Brant Business Interiors,999.99,high,6,B-WORTH-IT,storage | gfg-storage | heartwood-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
129,9683080249657,horseshoe-study-table-height-adjustable-c-shape-horseshoe-1,Horseshoe study table height adjustable c-shape horseshoe,Brant Business Interiors,999.99,med,6,B-WORTH-IT,tables | height-adjustable-tables | fire-resistant-file-cabinets,Brant Business Interiors,,,N,in-stock-10,+5 price>=500; +1 metafields present
130,9676180488505,ml-bar-stool,Ml bar stool,Brant Business Interiors,999.99,med,6,B-WORTH-IT,stools | lounge-chairs | reception-side-guest-chairs,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
131,9103350169913,standing-desk-for-corner-desk-5,Standing desk for corner desk,Brant Business Interiors,959.99,med,6,B-WORTH-IT,desks | monitor-arms | desktop-risers,Brant Business Interiors,,,N,not-tracked,+5 price>=500; +1 metafields present
132,9685618884921,sidero-1,Sidero,Brant Business Interiors,939.99,low,6,B-WORTH-IT,folding-stacking-chairs-carts | task-chairs | lounge-chairs,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
133,9114345603385,coffee-table-33-x-33-15-height-2,"Coffee table 33"" x 33"" 15"" height — 33"" x 33""",Brant Business Interiors,907.34,med,6,B-WORTH-IT,tables | gfg-tables | cafeteria-breakroom-tables,Brant Business Interiors,,,N,not-tracked,+5 price>=500; +1 metafields present
134,9114394001721,end-table-29-x-29-x-16,"End table — 29"" x 29"" x 16""",Brant Business Interiors,907.34,med,6,B-WORTH-IT,tables | gfg-tables | end-tables-tables,Brant Business Interiors,,,N,not-tracked,+5 price>=500; +1 metafields present
135,10053881692473,l-shape-workstations,"L-shape workstations (9 sizes, 8 colours) — 9 sizes",Brant Business Interiors,899.99,med,6,B-WORTH-IT,l-shape-desks | desks | office-furniture,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
136,9847159750969,luray-executive-chair,Luray executive chair,Brant Business Interiors,899.99,low,6,B-WORTH-IT,medium-back-seating | gfg-chairs | obusforme-chairs,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
137,9769268871481,trapezoid-tables-3-sizes,Trapezoid tables (3 sizes) — 3 sizes,Brant Business Interiors,849.99,med,6,B-WORTH-IT,tables | height-adjustable-tables | gfg-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
138,9868797346105,lockers-2-tier,Lockers 2-tier,Brant Business Interiors,840.0,med,6,B-WORTH-IT,lockers | storage-cabinets-lockers | gfg-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
139,9822327505209,laminate-lockers-1,Laminate lockers,Brant Business Interiors,838.2,med,6,B-WORTH-IT,lockers | laminate-bookcases | storage-cabinets-lockers,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
140,9103188459833,boat-shaped-conference-table-96-x-36-x-29,"Boat shaped conference table — 96"" x 36"" x 29""",Brant Business Interiors,799.99,high,6,B-WORTH-IT,meeting-tables | boardroom-conference-meeting | training-flip-top-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
141,9782607446329,height-adjustable-rectangular-table-2-legs-nl48243qht,Height adjustable rectangular table - 2 legs,Brant Business Interiors,799.99,med,6,B-WORTH-IT,height-adjustable-tables | room-open-plan | boardroom-conference-meeting,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
142,9676187631929,planters,Planters,Brant Business Interiors,799.99,med,6,B-WORTH-IT,planters,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
143,9769354592569,rambler-ottoman-8-shape-size-options,Rambler ottoman (8 shape & size),Brant Business Interiors,799.99,med,6,B-WORTH-IT,ottomans | l-shape | u-shape-desks-desks,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
144,9768075526457,basics-comfort-time-ultra-multi-tilter-big-tall-with-headrest,Basics comfort-time ultra multi-tilter big & tall with headrest,Brant Business Interiors,794.99,med,6,B-WORTH-IT,task-chairs | big-heavy-seating | chair-mats,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
145,9820585525561,koko-tables,Koko tables,Brant Business Interiors,779.99,med,6,B-WORTH-IT,tables | gfg-tables | heartwood-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
146,9667830776121,lotus-dx-sit-stand-workstation-dual-monitor-arm-extra,Lotus dx sit-stand workstation (dual monitor arm extra),Brant Business Interiors,763.89,med,6,B-WORTH-IT,desk-top-sit-stand | monitor-arms | desktop-sit-stand,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
147,9832623735097,ceiling-grids-sound-acoustic-dampeners-orb,Ceiling grids sound acoustic dampeners orb,Brant Business Interiors,747.0,low,6,B-WORTH-IT,sound-dampeners | oecm-eligible | room-open-plan,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
148,9693075505465,impromptu-lectern-1,Impromptu lectern,Brant Business Interiors,699.99,low,6,B-WORTH-IT,desk-top-sit-stand-ergonomic-products | oecm-eligible | desktop-sit-stand,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
149,9882644414777,manual-height-adjustable-base,Manual height adjustable base (tops sold separately),Brant Business Interiors,699.99,med,6,B-WORTH-IT,height-adjustable-tables | desk-top-sit-stand | desktop-sit-stand,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
150,9783856824633,quick-assembly-electric-height-adjustable-base-2-legs,Quick assembly electric height adjustable base - 2 legs,Brant Business Interiors,699.99,med,6,B-WORTH-IT,height-adjustable-tables | desk-top-dividers | side-coffee-table,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
151,9688143266105,sit2stand-series-sit-stand-workstation,Sit2stand series sit-stand workstation,Brant Business Interiors,699.99,med,6,B-WORTH-IT,desk-top-sit-stand | desktop-sit-stand | sit-stand-workstations,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
152,9455249195321,table-desk-13-colour-options,Table desk 13 colour options — 13 colour,Brant Business Interiors,699.99,med,6,B-WORTH-IT,tables | desks | room-open-plan,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
153,9726655791417,single-pedestal-desk-60w-x-30d,"Single pedestal desk - 60""w x 30""d — 30""",Brant Business Interiors,696.0,high,6,B-WORTH-IT,pedestals | desks | storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
154,9103475704121,desktop-riser-black-2,Desktop riser — Black,Brant Business Interiors,692.82,low,6,B-WORTH-IT,gfg-desks | desks | heartwood-desks,Brant Business Interiors,,,N,not-tracked,+5 price>=500; +1 metafields present
155,9103471608121,electric-height-adjustable-standing-desk-workstation-4,Electric height adjustable standing desk workstation,Brant Business Interiors,682.0,med,6,B-WORTH-IT,desk-top-sit-stand | height-adjustable-tables | gfg-desks,Brant Business Interiors,,,N,not-tracked,+5 price>=500; +1 metafields present
156,9729470857529,marche-guest-chair,Marche guest chair,Brant Business Interiors,670.64,low,6,B-WORTH-IT,guest-seating | stools-seating | gfg-chairs,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
157,9664286523705,tl-high-back-multi-tilter,Tl | high back multi-tilter,Brant Business Interiors,649.0,high,6,B-WORTH-IT,task-chairs | medium-back-seating | reception-side-guest-chairs,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
158,9782603186489,two-drawer-lateral-file-nl3624lft,Two drawer lateral file — NL3624LFT,Brant Business Interiors,647.73,low,6,B-WORTH-IT,room-open-plan | lateral-file-cabinets-storage | training-flip-top-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
159,9714121933113,atlas-sit-to-stand-height-adjustable-desk,Atlas sit to stand height adjustable desk,Brant Business Interiors,620.68,high,6,B-WORTH-IT,desk-top-sit-stand | height-adjustable-tables | desktop-sit-stand,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
160,9770509140281,basics-elora-home-office-synchro-tilter-chair-1,Basics elora home office synchro tilter chair,Brant Business Interiors,599.99,high,6,B-WORTH-IT,task-chairs | medium-back-seating | room-private-office,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
161,9770563141945,chevron-ultra-medium-back-multi-tilter-chair,Chevron ultra medium back multi-tilter chair,Brant Business Interiors,599.99,med,6,B-WORTH-IT,task-chairs | medium-back-seating | chair-mats,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
162,10128802709817,electric-desk-riser-dual-monitor-arm,Electric desk riser + dual monitor arm,Brant Business Interiors,599.99,med,6,B-WORTH-IT,desks | monitor-arms | keyboard-trays,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
163,9788567388473,mobile-pedestal-digital-lock,Mobile pedestal & digital lock,Brant Business Interiors,599.99,high,6,B-WORTH-IT,pedestals | storage | mobile-pedestals,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
164,9683059179833,table-round-height-adjustable,Table round height adjustable,Brant Business Interiors,589.99,med,6,B-WORTH-IT,tables | height-adjustable-tables | fire-resistant-file-cabinets,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
165,9785822609721,triple-monitor-and-ipad-holder,Triple monitor and ipad holder,Brant Business Interiors,588.69,med,6,B-WORTH-IT,monitor-arms | room-private-office | end-tables-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
166,9103344206137,chair-dolly-duet-chairs,Chair dolly (duet chairs),Brant Business Interiors,569.99,low,6,B-WORTH-IT,folding-stacking-chairs-carts | global-teknion | gfg-chairs,Brant Business Interiors,,,N,not-tracked,+5 price>=500; +1 metafields present
167,9778549653817,momentum-series-combos-keyboard-arm-premium-quality,Momentum series combos keyboard arm (premium quality),Brant Business Interiors,563.99,low,6,B-WORTH-IT,keyboard-trays | desk-top-dividers,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
168,9744712171833,two-stage-electric-height-adjustable-table,Two-stage electric height adjustable table,Brant Business Interiors,549.99,med,6,B-WORTH-IT,height-adjustable-tables | room-private-office | desk-top-dividers,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
169,9103185183033,dolly-7,Dolly,Brant Business Interiors,545.25,low,6,B-WORTH-IT,folding-stacking-chairs-carts | global-teknion | gfg-desks,Brant Business Interiors,,,N,not-tracked,+5 price>=500; +1 metafields present
170,9113935479097,tables-dolly-8,Tables dolly,Brant Business Interiors,536.55,med,6,B-WORTH-IT,tables | gfg-storage | global-teknion,Brant Business Interiors,,,N,not-tracked,+5 price>=500; +1 metafields present
171,9667812786489,bookcase-metal-2-size-options,Bookcase metal 2 size options — 2 size,Brant Business Interiors,529.99,high,6,B-WORTH-IT,bookcases | metal-vertical-files,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
172,9724674277689,taper-leg-table,Taper leg table,Brant Business Interiors,529.99,med,6,B-WORTH-IT,tables | training-flip-top-tables | gfg-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
173,9728150241593,tucana-elite-training-nesting-tables,Tucana elite training nesting tables,Brant Business Interiors,529.99,low,6,B-WORTH-IT,training-flip-top-tables | gfg-storage | heartwood-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
174,9721985237305,factor-mesh-seating,Factor mesh seating,Brant Business Interiors,475.0,med,6,B-WORTH-IT,seating | medium-back-seating | mesh-seating,Brant Business Interiors,Factor,,N,sold-out,+3 price>=200; +2 line:factor; +1 metafields present
175,9720592138553,factor-mesh-back-armchair-casters-5545amc-1,"Factor mesh back armchair, casters (5545amc) — 5545AMC",Brant Business Interiors,429.99,low,6,B-WORTH-IT,accessories | otg-accessories | chairmat-accessories,Brant Business Interiors,Factor,,N,sold-out,+3 price>=200; +2 line:factor; +1 metafields present
176,10197035385145,wave-high-back-synchro-tilter,Wave | High Back Synchro-Tilter,Brant Business Interiors,399.99,high,6,B-WORTH-IT,task-chairs | chair-mats | medium-back-seating,Brant Business Interiors,Wave,,N,in-stock-1000,+3 price>=200; +2 line:wave; +1 metafields present
177,9874945835321,metal-round-metal-base,Metal round metal base,Brant Business Interiors,369.99,none,6,B-WORTH-IT,big-heavy-seating | desk-top-dividers | height-adjustable-tables,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 multi-option variants; +1 no claude_confidence (needs manual research)
178,9874949079353,metal-square-metal-base,Metal square metal base,Brant Business Interiors,369.99,none,6,B-WORTH-IT,big-heavy-seating | desk-top-dividers | height-adjustable-tables,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 multi-option variants; +1 no claude_confidence (needs manual research)
179,9945372459321,sonic-armchair-upholstered-seat-polypropylene-back-casters-6574,"Sonic armchair, upholstered seat & polypropylene back, casters (6574) — 6574",Brant Business Interiors,296.99,low,6,B-WORTH-IT,accessories | otg-accessories | chairmat-accessories,Brant Business Interiors,,6574,N,sold-out,+3 price>=200; +2 model number in title; +1 metafields present
180,9664282657081,altona-high-back-leather-tilter,Altona | high back leather tilter,Brant Business Interiors,249.99,med,6,B-WORTH-IT,task-chairs | boardroom-conference-meeting | leather-faux-seating,Brant Business Interiors,Altona,,N,sold-out,+3 price>=200; +2 line:altona; +1 metafields present
181,9800598552889,laminate-modesty-panels,Laminate modesty panels,Brant Business Interiors,239.0,none,6,B-WORTH-IT,otg-panels | laminate-bookcases | panel-systems,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 multi-option variants; +1 no claude_confidence (needs manual research)
182,9841829478713,round-table-cross-base-8-colours,Round table cross base — 8 colours,Brant Business Interiors,499.99,med,5,B-WORTH-IT,tables | height-adjustable-tables | round-square-tables,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 multi-option variants
183,10030448312633,white-board-magnetic-mobile-on-wheels,White board magnetic (mobile) on wheels,Brant Business Interiors,499.99,none,5,B-WORTH-IT,gfg-storage | heartwood-storage | otg-storage,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 no claude_confidence (needs manual research)
184,10158668710201,demeter-mid-back-ergonomic-chair-buyers-choice-award,"Demeter mid back ergonomic chair ""buyers choice award""",Brant Business Interiors,469.99,none,5,B-WORTH-IT,chair-mats | medium-back-seating | mesh-seating,Brant Business Interiors,,,N,in-stock-600,+3 price>=200; +1 metafields present; +1 no claude_confidence (needs manual research)
185,9666434138425,keyboard-tray-multi-adjustable,Keyboard tray multi adjustable,Brant Business Interiors,419.99,none,5,B-WORTH-IT,height-adjustable-tables | keyboard-trays,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 no claude_confidence (needs manual research)
186,9968013639993,fax-printer-machine-stand,"Fax, printer, machine stand",Brant Business Interiors,418.0,none,5,B-WORTH-IT,gfg-storage | heartwood-storage | otg-storage,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 no claude_confidence (needs manual research)
187,9776149299513,basics-comfort-time-drafting-stool-with-or-without-arms-1,Basics comfort-time drafting stool (with or without arms),Brant Business Interiors,399.99,none,5,B-WORTH-IT,chair-mats | drafting-tables | height-adjustable-tables,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 no claude_confidence (needs manual research)
188,9942359015737,desk-top-dividers-1,Desk top dividers,Brant Business Interiors,399.99,med,5,B-WORTH-IT,desks | otg-panels | panels-dividers,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 multi-option variants
189,9103180136761,folding-table-60-4,Folding chair,Brant Business Interiors,399.99,none,5,B-WORTH-IT,chair-mats | folding-stacking-chairs-carts | medium-back-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 no claude_confidence (needs manual research)
190,9666433876281,keyboard-tray-multi-position,Keyboard tray multi position,Brant Business Interiors,399.99,none,5,B-WORTH-IT,keyboard-trays,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 no claude_confidence (needs manual research)
191,10102691627321,corner-maker-2-sizes,Corner maker — 2 sizes,Brant Business Interiors,389.99,none,5,B-WORTH-IT,keyboard-trays | monitor-arms,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 no claude_confidence (needs manual research)
192,9874943738169,metal-cross-base-with-levelers,Metal cross base with levelers,Brant Business Interiors,369.99,med,5,B-WORTH-IT,bases | big-heavy-seating | desk-top-dividers,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 multi-option variants
193,9968003612985,round-metal-base,Round metal base,Brant Business Interiors,369.99,med,5,B-WORTH-IT,bases | big-heavy-seating | desk-top-dividers,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 multi-option variants
194,9693093790009,rebound-armchair-polypropylene-seat-1,"Rebound armchair, polypropylene seat",Brant Business Interiors,359.99,none,5,B-WORTH-IT,chair-mats | medium-back-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 no claude_confidence (needs manual research)
195,9754654933305,shoptech-082,Shoptech — 082,Brant Business Interiors,345.0,none,5,B-WORTH-IT,big-heavy-seating | medium-back-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 no claude_confidence (needs manual research)
196,9665682669881,charging-station-with-a-clamp,Charging station with a clamp,Brant Business Interiors,269.99,none,5,B-WORTH-IT,power-modules-accessories,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 no claude_confidence (needs manual research)
197,10102435873081,i-pad-holders,Ipad holders,Brant Business Interiors,249.99,none,5,B-WORTH-IT,air-quality-management | chair-mats | desk-top-sit-stand,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 no claude_confidence (needs manual research)
198,9800589377849,plexiglass-modesty-panels,Plexiglass modesty panels,Brant Business Interiors,239.99,none,5,B-WORTH-IT,otg-panels | panel-systems | room-dividers-panels-dividers,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; +1 no claude_confidence (needs manual research)
199,9788847030585,modern-grigio-reception-desk,Modern grigio reception desk,Brant Business Interiors,2799.99,none,4,C-MAYBE,lounge-reception | room-reception | desk-top-dividers,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; -3 thin body + generic title; +1 no claude_confidence (needs manual research)
200,9665685782841,vesta-power-tower,Vesta power tower,Brant Business Interiors,1679.99,none,4,C-MAYBE,power-modules-accessories,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; -3 thin body + generic title; +1 no claude_confidence (needs manual research)
201,9722802536761,wardrobe-with-lock,Wardrobe with lock,Brant Business Interiors,1299.99,none,4,C-MAYBE,wardrobe-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; -3 thin body + generic title; +1 no claude_confidence (needs manual research)
202,9903963603257,hutch-with-doors,Hutch with doors (assembled),Brant Business Interiors,779.0,none,4,C-MAYBE,,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; -3 thin body + generic title; +1 no claude_confidence (needs manual research)
203,9693069377849,lectern-podium,Lectern podium,Brant Business Interiors,699.99,none,4,C-MAYBE,mobile-pedestals,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; -3 thin body + generic title; +1 no claude_confidence (needs manual research)
204,9725748478265,gaming-chair,Gaming chair,Brant Business Interiors,499.99,med,4,C-MAYBE,gaming | chair-mats | medium-back-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
205,10128782164281,round-table-29-high-8-colours,"Round table 29"" high (8 colours) — 8 colours",Brant Business Interiors,499.99,med,4,C-MAYBE,tables | round-square-tables | desk-top-dividers,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
206,9688274895161,soho-desk-single-pedestal-2-sizes,Soho desk single pedestal — 2 sizes,Brant Business Interiors,499.99,med,4,C-MAYBE,desks | pedestal-drawers-storage | storage,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
207,9826724872505,work-table-at,Work table at,Brant Business Interiors,499.99,med,4,C-MAYBE,tables | desk-top-dividers | laminate-bookcases,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
