Handle,Title,Product_Type,Image_Position,FAL_URL,Local_Path,Alt_Text,Prompt,Status
sonic-armchair-polypropylene-seat-back-6513,"Sonic™ Armchair, Polypropylene Seat & Back (6513)","Furniture > Chairs > Armchairs, Recliners & Sleeper Chairs > Armchairs",4,https://v3b.fal.media/files/b/0a979bc0/WfpScGZw8TOzeNRyxfzCq.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/sonic-armchair-polypropylene-seat-back-6513-gen-4.jpg,"Sonic™ Armchair, Polypropylene Seat & Back (6513) - Detail Close-Up","Close-up detail shot of Sonic™ Armchair, Polypropylene Seat & Back (6513), a office ergonomic chair, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",OK
sonic-armless-counter-stool-polypropylene-seat-back-6558cs,"Sonic™ Armless Counter Stool, Polypropylene Seat & Back (6558CS)",Furniture > Chairs > Table & Bar Stools > Bar Stools,2,https://v3b.fal.media/files/b/0a979bc0/sS29lM1OL3-i9juzQzoeY.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/sonic-armless-counter-stool-polypropylene-seat-back-6558cs-gen-2.jpg,"Sonic™ Armless Counter Stool, Polypropylene Seat & Back (6558CS) - Office Setting","Professional product photography of Sonic™ Armless Counter Stool, Polypropylene Seat & Back (6558CS), a counter stool, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",OK
sonic-armless-counter-stool-polypropylene-seat-back-6558cs,"Sonic™ Armless Counter Stool, Polypropylene Seat & Back (6558CS)",Furniture > Chairs > Table & Bar Stools > Bar Stools,3,https://v3b.fal.media/files/b/0a979bc0/i7AmEFJNfPGg-mPfdziML.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/sonic-armless-counter-stool-polypropylene-seat-back-6558cs-gen-3.jpg,"Sonic™ Armless Counter Stool, Polypropylene Seat & Back (6558CS) - Workspace View","Sonic™ Armless Counter Stool, Polypropylene Seat & Back (6558CS), a counter stool, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",OK
sonic-armless-counter-stool-polypropylene-seat-back-6558cs,"Sonic™ Armless Counter Stool, Polypropylene Seat & Back (6558CS)",Furniture > Chairs > Table & Bar Stools > Bar Stools,4,https://v3b.fal.media/files/b/0a979bc1/mWyC7WEevOIpzwM01Y61q.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/sonic-armless-counter-stool-polypropylene-seat-back-6558cs-gen-4.jpg,"Sonic™ Armless Counter Stool, Polypropylene Seat & Back (6558CS) - Detail Close-Up","Close-up detail shot of Sonic™ Armless Counter Stool, Polypropylene Seat & Back (6558CS), a counter stool, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",OK
white-board-magnetic-mobile-on-wheels,White Board Magnetic (mobile) on wheels,Office Supplies > Presentation Supplies > Dry-Erase Boards,2,https://v3b.fal.media/files/b/0a979bc1/8RicquUb-nOnJd5z_nCM-.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/white-board-magnetic-mobile-on-wheels-gen-2.jpg,White Board Magnetic (mobile) on wheels - Office Setting,"Professional product photography of White Board Magnetic (mobile) on wheels, a whiteboard, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",OK
white-board-magnetic-mobile-on-wheels,White Board Magnetic (mobile) on wheels,Office Supplies > Presentation Supplies > Dry-Erase Boards,3,https://v3b.fal.media/files/b/0a979bc1/X6qbFYt0LNQ8xOmDEnU37.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/white-board-magnetic-mobile-on-wheels-gen-3.jpg,White Board Magnetic (mobile) on wheels - Workspace View,"White Board Magnetic (mobile) on wheels, a whiteboard, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",OK
white-board-magnetic-mobile-on-wheels,White Board Magnetic (mobile) on wheels,Office Supplies > Presentation Supplies > Dry-Erase Boards,4,https://v3b.fal.media/files/b/0a979bc1/TCkfl_K7DFN_R7-t0ujoi.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/white-board-magnetic-mobile-on-wheels-gen-4.jpg,White Board Magnetic (mobile) on wheels - Detail Close-Up,"Close-up detail shot of White Board Magnetic (mobile) on wheels, a whiteboard, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",OK
solo-gues-chair,SOLO GUEST CHAIR 5225SSU,Furniture > Office Furniture > Office Chairs,2,https://v3b.fal.media/files/b/0a979bc1/1yiLP_ja4COmOraVpX_We.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/solo-gues-chair-gen-2.jpg,SOLO GUEST CHAIR 5225SSU - Office Setting,"Professional product photography of SOLO GUEST CHAIR 5225SSU, a office ergonomic chair, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",OK
solo-gues-chair,SOLO GUEST CHAIR 5225SSU,Furniture > Office Furniture > Office Chairs,3,https://v3b.fal.media/files/b/0a979bc1/WKn3Q6cFYCr6p3VEWMzb8.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/solo-gues-chair-gen-3.jpg,SOLO GUEST CHAIR 5225SSU - Workspace View,"SOLO GUEST CHAIR 5225SSU, a office ergonomic chair, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",OK
solo-gues-chair,SOLO GUEST CHAIR 5225SSU,Furniture > Office Furniture > Office Chairs,4,https://v3b.fal.media/files/b/0a979bc2/IYFmUE7JR_2KcDgWLA8VV.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/solo-gues-chair-gen-4.jpg,SOLO GUEST CHAIR 5225SSU - Detail Close-Up,"Close-up detail shot of SOLO GUEST CHAIR 5225SSU, a office ergonomic chair, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",OK
arm-caps-for-2330-chair,Arm Caps for 2330 chair,Furniture > Chair Accessories,2,https://v3b.fal.media/files/b/0a979bc2/mhCisAjC03k9X8srjZ2dO.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/arm-caps-for-2330-chair-gen-2.jpg,Arm Caps for 2330 chair - Office Setting,"Professional product photography of Arm Caps for 2330 chair, a office ergonomic chair, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",OK
arm-caps-for-2330-chair,Arm Caps for 2330 chair,Furniture > Chair Accessories,3,https://v3b.fal.media/files/b/0a979bc2/c0VkiYz-r5UHelOPFyN8j.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/arm-caps-for-2330-chair-gen-3.jpg,Arm Caps for 2330 chair - Workspace View,"Arm Caps for 2330 chair, a office ergonomic chair, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",OK
arm-caps-for-2330-chair,Arm Caps for 2330 chair,Furniture > Chair Accessories,4,https://v3b.fal.media/files/b/0a979bc2/lxE_T3u6-4GZ1vwBBIPXe.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/arm-caps-for-2330-chair-gen-4.jpg,Arm Caps for 2330 chair - Detail Close-Up,"Close-up detail shot of Arm Caps for 2330 chair, a office ergonomic chair, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",OK
tritek-7472-3-chair,Tritek 7472-3 Chair,Furniture > Office Furniture > Office Chairs,2,https://v3b.fal.media/files/b/0a979bc2/2t7Im3dsCkXswGb-pzUUO.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/tritek-7472-3-chair-gen-2.jpg,Tritek 7472-3 Chair - Office Setting,"Professional product photography of Tritek 7472-3 Chair, a office ergonomic chair, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",OK
tritek-7472-3-chair,Tritek 7472-3 Chair,Furniture > Office Furniture > Office Chairs,3,https://v3b.fal.media/files/b/0a979bc3/xDT5LDWcXmKxTL2nb2jS0.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/tritek-7472-3-chair-gen-3.jpg,Tritek 7472-3 Chair - Workspace View,"Tritek 7472-3 Chair, a office ergonomic chair, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",OK
tritek-7472-3-chair,Tritek 7472-3 Chair,Furniture > Office Furniture > Office Chairs,4,https://v3b.fal.media/files/b/0a979bc3/ezMV-B2_yE6GY3SFIKX-_.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/tritek-7472-3-chair-gen-4.jpg,Tritek 7472-3 Chair - Detail Close-Up,"Close-up detail shot of Tritek 7472-3 Chair, a office ergonomic chair, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",OK
finch-armless-stacking-armchair-mvl11704,Finch | Armless Stacking Armchair MVL11704,Uncategorized,2,https://v3b.fal.media/files/b/0a979bc3/49p9UHs75yM_6IFDz-KfF.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/finch-armless-stacking-armchair-mvl11704-gen-2.jpg,Finch | Armless Stacking Armchair MVL11704 - Office Setting,"Professional product photography of Finch | Armless Stacking Armchair MVL11704, a office furniture, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",OK
finch-armless-stacking-armchair-mvl11704,Finch | Armless Stacking Armchair MVL11704,Uncategorized,3,https://v3b.fal.media/files/b/0a979bc3/K1PKIkeCKsu3I94rlmMoa.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/finch-armless-stacking-armchair-mvl11704-gen-3.jpg,Finch | Armless Stacking Armchair MVL11704 - Workspace View,"Finch | Armless Stacking Armchair MVL11704, a office furniture, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",OK
finch-armless-stacking-armchair-mvl11704,Finch | Armless Stacking Armchair MVL11704,Uncategorized,4,https://v3b.fal.media/files/b/0a979bc3/V4tsLVoWhpaGh_AsCUOPs.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/finch-armless-stacking-armchair-mvl11704-gen-4.jpg,Finch | Armless Stacking Armchair MVL11704 - Detail Close-Up,"Close-up detail shot of Finch | Armless Stacking Armchair MVL11704, a office furniture, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",OK
low-back-stacking-chair-mvl2747,Low Back Stacking Chair MVL2747,Furniture > Chairs > Folding Chairs & Stools > Folding Chairs,2,https://v3b.fal.media/files/b/0a979bc3/JoAt7kuVHov1FDN_LrD7Z.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/low-back-stacking-chair-mvl2747-gen-2.jpg,Low Back Stacking Chair MVL2747 - Office Setting,"Professional product photography of Low Back Stacking Chair MVL2747, a office ergonomic chair, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",OK
low-back-stacking-chair-mvl2747,Low Back Stacking Chair MVL2747,Furniture > Chairs > Folding Chairs & Stools > Folding Chairs,3,https://v3b.fal.media/files/b/0a979bc4/TFKeOblQQrW_2LHojj864.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/low-back-stacking-chair-mvl2747-gen-3.jpg,Low Back Stacking Chair MVL2747 - Workspace View,"Low Back Stacking Chair MVL2747, a office ergonomic chair, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",OK
low-back-stacking-chair-mvl2747,Low Back Stacking Chair MVL2747,Furniture > Chairs > Folding Chairs & Stools > Folding Chairs,4,https://v3b.fal.media/files/b/0a979bc4/8Hlhn95tBpALOSk752K0I.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/low-back-stacking-chair-mvl2747-gen-4.jpg,Low Back Stacking Chair MVL2747 - Detail Close-Up,"Close-up detail shot of Low Back Stacking Chair MVL2747, a office ergonomic chair, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",OK
