handle,title,type_bucket,product_type,vendor,sold_orders,sold_revenue,has_image,has_price,all_oos,rule_applied,proposed_action,reason,proposed_tags,admin_url
echo-3670-3-task-chair,Echo 3670-3 Task Chair,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9666752053561
echo-medium-back-multi-tilter-3671-3-1,Echo™ Medium Back Multi-Tilter (3671-3),Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9666752708921
ergo-boss-multi-tilter-chair-2,Ergo Boss™ Multi-Tilter Chair,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9768066646329
factor-mesh-seating,Factor Mesh Seating,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9721985237305
factor-mesh-seating-stool,Factor Mesh Seating Stool,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9721986154809
factor-mesh-back-armchair-casters-5545amc-1,"Factor™ Mesh Back Armchair, Casters (5545AMC)",Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9720592138553
file-buddy-swivel-stool-black-vinyl,File Buddy Swivel Stool Black Vinyl,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9103460696377
finch-armless-stacking-armchair-mvl11704,Finch | Armless Stacking Armchair MVL11704,Chairs,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9982117806393
flap-folding-chair-6775-1,Flap™ Folding Chair (6775),Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9693098705209
floor-chairmat-carpet-hard-floor-60-x-46,"Floor Chairmat Carpet, Hard Floor 60""  x 46""",Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9103186002233
folding-table-60-4,Folding Chair,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9103180136761
folding-chair-cart,Folding Chair Cart,Chairs,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/10107361100089
gc-comet-bariatric-stacking-armchair-gc2180-1,GC Comet™ Bariatric Stacking Armchair (GC2180),Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9685632909625
gaming-chair,Gaming Chair,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9725748478265
granada-deluxe-high-back-multi-tilter-1170-3-2,Granada® Deluxe High Back Multi-Tilter (1170-3),Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9666746384697
guest-chair-6960-moda,Guest Chair 6960 Moda,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9667794239801
high-back-tilter-with-arms,High Back Tilter with Arms,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9664277971257
high-back-weight-sensing-synchro-tilter,High Back Weight Sensing Synchro-Tilter,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9639512768825
kate-medium-back-armchair-2813,Kate Medium Back Armchair (2813),Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9729489043769
kneeling-chair-kcm1420,Kneeling Chair KCM1420,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9847222403385
l-shaped-medium-pile-chair-mat-with-lip-66-x-60-2,"L-Shaped Medium Pile Chair Mat With Lip  66"" x 60""",Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9100256477497
loover-high-back-synchro-tilter,Loover High Back Synchro Tilter,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9666753855801
loover-medium-back-synchro-tilter-chair,Loover Medium Back Synchro Tilter Chair,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9666754675001
low-back-stacking-chair-mvl2747,Low Back Stacking Chair MVL2747,Chairs,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9982116069689
lumi-high-back-synchro-tilter-chair,Lumi | High Back Synchro-Tilter Chair,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9666759852345
ml-bar-stool,ML Bar Stool,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9676180488505
mvl2732-annapolis-high-back-luxhide-tilter,MVL2732 Annapolis | High Back Luxhide Tilter,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9816457904441
mvl3101-avro-mesh-back-synchro-tilter-chair,MVL3101 Avro Mesh Back Synchro-Tilter Chair,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9766187139385
mvl3103-avro-upholstered-seat-mesh-back-multi-tilter,MVL3103 Avro | Upholstered Seat & Mesh Back Multi-Tilter,Chairs,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9965370048825
marlee-midback-chair-bonded-leather-mvl11722,Marlee Midback Chair Bonded Leather MVL11722,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9816455512377
marlee-synchro-tilter-chairs,Marlee Synchro-Tilter Chairs,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9776144908601
minto-low-back-stacking-armchair-mvl2747,Minto | Low Back Stacking Armchair MVL2747,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9782575333689
nourish-high-back-bariatric-patient-chair-gc3685-1,Nourish™ High Back Bariatric Patient Chair (GC3685),Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9685627470137
polycarbonate-chairmat-for-hard-floors-hard-floor-60x-46-1,"Polycarbonate Chairmat for Hard Floors - Hard Floor 60""x 46""",Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9098369335609
primacare-ht-patient-mid-back-bariatric-open-arms-gc3638-1,"Primacare™ HT Patient Mid Back Bariatric, Open Arms (GC3638)",Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9685608563001
rebound-armchair-polypropylene-seat-1,"Rebound™ Armchair, Polypropylene Seat",Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9693093790009
rebound-armchair-upholstered-seat-r5apug,"Rebound™ Armchair, Upholstered Seat (R5APUG)",Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9729492975929
robust-high-back-multi-tilter-chair-2526,Robust High Back Multi-Tilter Chair 2526,Chairs,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9905517953337
solo-gues-chair,SOLO GUEST CHAIR 5225SSU,Chairs,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/10024625176889
six-13-medium-back-multi-tilter,Six 13 | Medium Back Multi-Tilter,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9666758738233
