handle,product_id,title,status,current_vendor,proposed_vendor,confidence,matched_pattern,will_change,is_hero_100
lounge-seating-3-sizes-suburb,gid://shopify/Product/9682802147641,Lounge seating 3 sizes suburb — 3 sizes,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
medicine-wheel-table-indigenous,gid://shopify/Product/9683112067385,Medicine wheel table indigenous,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
mobile-pedestal-drawer-box-file,gid://shopify/Product/9745591533881,Mobile pedestal drawer box/file,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
multi-storage-cabinet-93365msl,gid://shopify/Product/9733021401401,Multi-storage cabinet — 93365MSL,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
mvl11886-caman-high-back-tilter-bonded-leather,gid://shopify/Product/9816456495417,MVL11886 caman | high back tilter bonded — Leather,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
napa-boardroom-conference-table,gid://shopify/Product/9724981215545,Napa boardroom conference table,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
nesting-training-table-8-colour-choices,gid://shopify/Product/9729271464249,Nesting Training Table (8 Colour Choices),ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,yes
otg13026-safari-medium-mesh-back-tilter-chair,gid://shopify/Product/9712926556473,OTG13026 safari | medium mesh back tilter chair,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
outdoor-park-benches,gid://shopify/Product/9676931039545,Outdoor park benches,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
outdoor-steel-bench,gid://shopify/Product/9676932350265,Outdoor steel bench,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
pedestal-box-box-file-with-or-without-wheels,gid://shopify/Product/9103392276793,Pedestal - box/box/file (with or without wheels),ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
pneumatic-height-adjustable-table,gid://shopify/Product/9725753360697,Pneumatic height adjustable table,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
premium-height-adjustable-table-1,gid://shopify/Product/9665360331065,Premium height adjustable table,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,gid://shopify/Product/9114485391673,"Premium series lateral file cabinet (2,3,4 & 5 drawer) — 5 drawer",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
raven-high-back-heavy-duty-synchro-tilter-chair-otg10703b,gid://shopify/Product/9745595597113,Raven high back heavy duty synchro-tilter chair — OTG10703B,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
robust-high-back-multi-tilter-chair-500lb-weight-capacity-glb74475,gid://shopify/Product/9666742124857,Robust high back multi-tilter chair 500lb weight capacity — GLB74475,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
roma-1900-nesting-chair,gid://shopify/Product/9719788732729,Roma 1900 nesting chair,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
round-table-42-high-bar-height,gid://shopify/Product/9103357116729,"Round table 42"" high bar height — 42""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
sidero-guest-chair-28-colour-options,gid://shopify/Product/9699268591929,Sidero guest chair 28 colour options — 28 colour,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
sirena-lounge-chair-3371,gid://shopify/Product/9893663277369,Sirena lounge chair,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,yes
square-table-x-base-3-sizes,gid://shopify/Product/9826729656633,Square table - x-base — 3 sizes,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
storage-cabinet-medium-duty-72x18x36w,gid://shopify/Product/9103385526585,"Storage cabinet medium duty 72""x18""x36""w — 72""x18""x36""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
table-desk-1,gid://shopify/Product/9782640640313,Table desk,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
terina-training-tables-rectangular-table-8-sizes,gid://shopify/Product/9686654255417,Terina training tables rectangular table — 8 sizes,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
training-flip-top-tables-1,gid://shopify/Product/9686674637113,Training flip top tables,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
u-shape-desk-nlp205,gid://shopify/Product/9468352889145,U-shape desk — NLP205,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
u-shape-height-adjust-desk,gid://shopify/Product/9499674050873,U-shape height adjust desk,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
ultra-high-back-tilter-with-arms-mvl11730,gid://shopify/Product/9771600707897,Ultra | high back tilter with arms — MVL11730,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
upscale-table-1,gid://shopify/Product/9674761797945,Upscale table,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
vertical-file-2-drawer-letter,gid://shopify/Product/9727967494457,Vertical file 2 drawer letter — 2 drawer,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
willow-bariatric-chair,gid://shopify/Product/9685598110009,Willow bariatric chair,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
wood-laminate-storage-cabinets,gid://shopify/Product/9788608184633,Wood laminate storage cabinets,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
alphabetter-stand-up-desk,gid://shopify/Product/10170179911993,Alphabetter stand-up desk,ACTIVE,Office Central & Brant Business Interiors,Safco,high,\bAlphaBetter\b,yes,no
basics-obusforme-elite-heavy-duty-multi-tilter-chair-ts2770-3-1,gid://shopify/Product/9776141041977,ObusForme Basics elite heavy duty multi-tilter chair — TS2770-3,ACTIVE,Business Interiors,ObusForme,high,\bObusForme\b,yes,no
drafting-table-safco-vista-drawing-table,gid://shopify/Product/9693072687417,Drafting table safco vista drawing table,ACTIVE,Business Interiors,Safco,high,\bSafco\b,yes,no
efloat-quattro-humanscale,gid://shopify/Product/9982087758137,Efloat quattro humanscale,ACTIVE,Office Central & Brant Business Interiors,Humanscale,high,\bHumanscale\b,yes,no
global-accord-back-knee-tilter-chair-1,gid://shopify/Product/9639652557113,Global Accord back knee tilter chair,ACTIVE,Business Interiors,Global Furniture Group,high,\bGlobal\b,yes,no
global-accord-mesh-back-tilter,gid://shopify/Product/9965349372217,Global Accord mesh back tilter,ACTIVE,Office Central & Brant Business Interiors,Global Furniture Group,high,\bGlobal\b,yes,no
global-obusforme-elite-multi-tilter-chair-high-back,gid://shopify/Product/9666747924793,ObusForme Global elite multi-tilter chair high back,ACTIVE,Business Interiors,Global Furniture Group,high,\bGlobal\b,yes,no
heartwood-mobile-pedestal-bf,gid://shopify/Product/9800572797241,Heartwood mobile pedestal bf,ACTIVE,Business Interiors,Heartwood Manufacturing,high,\bHeartwood\b,yes,no
heartwood-plexiglass-hanging-modesty-panel-48-width-x-15-height-plexiglass-silver-metal-clear-2,gid://shopify/Product/9103182299449,"Heartwood Plexiglass Hanging Modesty Panel - 48"" Width x 15"" Height - Plexiglass - Silver Metal, Clear",ARCHIVED,Business Interiors,Heartwood Manufacturing,high,\bHeartwood\b,yes,no
humanscale-nova-lighting,gid://shopify/Product/9983576506681,Humanscale nova lighting,ACTIVE,Office Central & Brant Business Interiors,Humanscale,high,\bHumanscale\b,yes,no
obusforme-comfort-high-back-chair-1260-3-schukra,gid://shopify/Product/10052615831865,ObusForme Comfort high back chair 1260-3 schukra,ACTIVE,Business Interiors,ObusForme,high,\bObusForme\b,yes,no
obusforme-comfort-medium-back-chair-fabric-1241-3-copy,gid://shopify/Product/9840806887737,ObusForme Comfort medium back chair — 1241-3,ACTIVE,Business Interiors,ObusForme,high,\bObusForme\b,yes,no
obusforme-comfort-medium-back-chair-fabric-1241-3-copy-1,gid://shopify/Product/9938997543225,ObusForme Comfort medium back chair 1261-3 schukra,ACTIVE,Business Interiors,ObusForme,high,\bObusForme\b,yes,no
obusforme-elite-multi-tilter-chair-medium-back,gid://shopify/Product/9666748711225,ObusForme Elite multi-tilter medium back chair,ACTIVE,Business Interiors,ObusForme,high,\bObusForme\b,yes,no
offices-to-go-ashmont-tilter-chair-1,gid://shopify/Product/9771586617657,Offices to Go ® ashmont tilter chair,ACTIVE,Business Interiors,Offices to Go,high,\bOffices to Go\b,yes,no
offices-to-go-chair-2,gid://shopify/Product/9103181250873,Offices to Go Chair,ACTIVE,Business Interiors,Offices to Go,high,\bOffices to Go\b,yes,no
offices-to-go-ionic-table-36-x-36-x-29-material-metal-base-finish-absolute-acajou-black-base-sandtex-1,gid://shopify/Product/9103429927225,"Offices to Go Ionic table - 36"" x 36"" x 29"" - material: metal base - finish: absolute acajou, black base, sandtex — 36"" x 36"" x 29""",ACTIVE,Business Interiors,Offices to Go,high,\bOffices to Go\b,yes,no
offices-to-go-newland-u-shaped-suites-nlp406,gid://shopify/Product/9855852380473,Offices to Go ® newland™ u-shaped suites — NLP406,ACTIVE,Business Interiors,Offices to Go,high,\bOffices to Go\b,yes,no
