Handle,Title,Image_Position,Source_Hero_URL,FAL_URL,Local_Path,Score,Match,Reason,Status,Retries,Timestamp
otg13026-safari-medium-mesh-back-tilter-chair,OTG13026 Safari | Medium Mesh Back Tilter Chair,2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/OTG13026-Safari-_-Medium-Mesh-Back-Tilter-Chair-Business-Interiors-16740482.jpg?v=1750123153,https://v3b.fal.media/files/b/0a98110b/xR_Jrcxlo-eBt6NCg-qCL_d86e58b45c0d41e6ad909c354b69fab6.jpg,/Users/leokatz/Desktop/Office Central/.claude/worktrees/frosty-bhabha-11ae78/data/generated-img2img-images/otg13026-safari-medium-mesh-back-tilter-chair-gen-2.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-093352
otg13026-safari-medium-mesh-back-tilter-chair,OTG13026 Safari | Medium Mesh Back Tilter Chair,3,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/OTG13026-Safari-_-Medium-Mesh-Back-Tilter-Chair-Business-Interiors-16740482.jpg?v=1750123153,https://v3b.fal.media/files/b/0a98110c/NiznNlU8r-66rJX78TZ-6_f44c56b19c094f709a4bd20fbba59f56.jpg,/Users/leokatz/Desktop/Office Central/.claude/worktrees/frosty-bhabha-11ae78/data/generated-img2img-images/otg13026-safari-medium-mesh-back-tilter-chair-gen-3.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-093352
u-shape-d-top-workstation,U-Shape D-Top Workstation,2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/U-Shape-D-Top-Workstation-Business-Interiors-16741545.png?v=1750123386,https://v3b.fal.media/files/b/0a98110d/OQ_RDfjZoabbyE19Wb71T_095620bc3b1c499f945bd35eba57c9ba.jpg,/Users/leokatz/Desktop/Office Central/.claude/worktrees/frosty-bhabha-11ae78/data/generated-img2img-images/u-shape-d-top-workstation-gen-2.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-093352
u-shape-d-top-workstation,U-Shape D-Top Workstation,3,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/U-Shape-D-Top-Workstation-Business-Interiors-16741545.png?v=1750123386,https://v3b.fal.media/files/b/0a98110f/N1JBUE-D9a4vqmE4QW5_i_b858b47f6c254963bb46d5ffcd7d3b34.jpg,/Users/leokatz/Desktop/Office Central/.claude/worktrees/frosty-bhabha-11ae78/data/generated-img2img-images/u-shape-d-top-workstation-gen-3.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-093352
institutional-series-lateral-file-cabinet-2-3-4-5-drawer,"Institutional Series Lateral File Cabinet (2,3,4 & 5 Drawer)",2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Institutional-Series-Lateral-File-Cabinet-_2_3_4-_-5-Drawer_-Business-Interiors-16777185.jpg?v=1750130655,https://v3b.fal.media/files/b/0a981110/TH1mLLzOfMUrZM2BOqfdT_b193fdbcc8054381a026c820d5f01288.jpg,/Users/leokatz/Desktop/Office Central/.claude/worktrees/frosty-bhabha-11ae78/data/generated-img2img-images/institutional-series-lateral-file-cabinet-2-3-4-5-drawer-gen-2.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-093352
institutional-series-lateral-file-cabinet-2-3-4-5-drawer,"Institutional Series Lateral File Cabinet (2,3,4 & 5 Drawer)",3,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Institutional-Series-Lateral-File-Cabinet-_2_3_4-_-5-Drawer_-Business-Interiors-16777185.jpg?v=1750130655,https://v3b.fal.media/files/b/0a981112/o3zk4DJoeNnrrSwQprdfH_9130153efef34a51b0cba5132da986ed.jpg,/Users/leokatz/Desktop/Office Central/.claude/worktrees/frosty-bhabha-11ae78/data/generated-img2img-images/institutional-series-lateral-file-cabinet-2-3-4-5-drawer-gen-3.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-093352
teknion-boardroom,"Teknion ""Boardroom""",2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Teknion-_Boardroom_-Business-Interiors-16758665.png?v=1750126990,https://v3b.fal.media/files/b/0a981113/a4X6t-TdxyO-DYUnpAxiC_5d4f8d5d768042c9a525997a1de72ddd.jpg,/Users/leokatz/Desktop/Office Central/.claude/worktrees/frosty-bhabha-11ae78/data/generated-img2img-images/teknion-boardroom-gen-2.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-093352
teknion-boardroom,"Teknion ""Boardroom""",3,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Teknion-_Boardroom_-Business-Interiors-16758665.png?v=1750126990,https://v3b.fal.media/files/b/0a981115/B3SjYOZRsBWjoX3QPdjPq_fba5ddd4541f4924a6ae1221df1eda80.jpg,/Users/leokatz/Desktop/Office Central/.claude/worktrees/frosty-bhabha-11ae78/data/generated-img2img-images/teknion-boardroom-gen-3.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-093352
vitrola-lounge-seating-4-size-options,Vitrola Lounge Seating (4 Size options),2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/DB_8271_Y72K_ECM_Reg_2400x2400_b1f3421c-8b96-43e9-bdcc-c9af6019fe08.jpg?v=1776794856,https://v3b.fal.media/files/b/0a981116/9vTge1_5GpNnsjcGN-I37_b8317a9fb9e64555af2a38b7061186b2.jpg,/Users/leokatz/Desktop/Office Central/.claude/worktrees/frosty-bhabha-11ae78/data/generated-img2img-images/vitrola-lounge-seating-4-size-options-gen-2.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-093352
vitrola-lounge-seating-4-size-options,Vitrola Lounge Seating (4 Size options),3,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/DB_8271_Y72K_ECM_Reg_2400x2400_b1f3421c-8b96-43e9-bdcc-c9af6019fe08.jpg?v=1776794856,https://v3b.fal.media/files/b/0a981118/ym8K064OjzWT3xS700kEM_39e04c0880664089aecd21e4bf8e68f0.jpg,/Users/leokatz/Desktop/Office Central/.claude/worktrees/frosty-bhabha-11ae78/data/generated-img2img-images/vitrola-lounge-seating-4-size-options-gen-3.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-093352
otg13026-safari-medium-mesh-back-tilter-chair,OTG13026 Safari | Medium Mesh Back Tilter Chair,2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/OTG13026-Safari-_-Medium-Mesh-Back-Tilter-Chair-Business-Interiors-16740482.jpg?v=1750123153,https://v3b.fal.media/files/b/0a9814e9/zU19Sbn5Otl-XQttGSZht_3c0d59a1197844579ace899bec76d97b.jpg,/Users/leokatz/Desktop/Office Central/data/generated-img2img-images/otg13026-safari-medium-mesh-back-tilter-chair-gen-2.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-112726
otg13026-safari-medium-mesh-back-tilter-chair,OTG13026 Safari | Medium Mesh Back Tilter Chair,3,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/OTG13026-Safari-_-Medium-Mesh-Back-Tilter-Chair-Business-Interiors-16740482.jpg?v=1750123153,https://v3b.fal.media/files/b/0a9814eb/QEQT_XCA8wAfjYzBeLGTd_1550895632d44203baeea475d1b53c71.jpg,/Users/leokatz/Desktop/Office Central/data/generated-img2img-images/otg13026-safari-medium-mesh-back-tilter-chair-gen-3.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-112726
otg13026-safari-medium-mesh-back-tilter-chair,OTG13026 Safari | Medium Mesh Back Tilter Chair,4,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/OTG13026-Safari-_-Medium-Mesh-Back-Tilter-Chair-Business-Interiors-16740482.jpg?v=1750123153,https://v3b.fal.media/files/b/0a9814ec/3Clv1UdBDtSwtHAdMRS-H_458c6decbe2e427db05ed3844f206450.jpg,/Users/leokatz/Desktop/Office Central/data/generated-img2img-images/otg13026-safari-medium-mesh-back-tilter-chair-gen-4.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-112726
u-shape-d-top-workstation,U-Shape D-Top Workstation,2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/U-Shape-D-Top-Workstation-Business-Interiors-16741545.png?v=1750123386,https://v3b.fal.media/files/b/0a9814ee/SJkRT68AJKI5dNCR-0AlC_8068b869812640cf88baa851f9376bb7.jpg,/Users/leokatz/Desktop/Office Central/data/generated-img2img-images/u-shape-d-top-workstation-gen-2.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-112726
u-shape-d-top-workstation,U-Shape D-Top Workstation,3,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/U-Shape-D-Top-Workstation-Business-Interiors-16741545.png?v=1750123386,https://v3b.fal.media/files/b/0a9814ef/w00BpE6WIsMhlLLhpPaLh_1d02e93c350c4f128e439b5f9821c408.jpg,/Users/leokatz/Desktop/Office Central/data/generated-img2img-images/u-shape-d-top-workstation-gen-3.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-112726
u-shape-d-top-workstation,U-Shape D-Top Workstation,4,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/U-Shape-D-Top-Workstation-Business-Interiors-16741545.png?v=1750123386,https://v3b.fal.media/files/b/0a9814f0/s4jfj5Kg1-8fwYE3TW-fE_191ce8a486704165b53d37f1710812b7.jpg,/Users/leokatz/Desktop/Office Central/data/generated-img2img-images/u-shape-d-top-workstation-gen-4.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-112726
institutional-series-lateral-file-cabinet-2-3-4-5-drawer,"Institutional Series Lateral File Cabinet (2,3,4 & 5 Drawer)",2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Institutional-Series-Lateral-File-Cabinet-_2_3_4-_-5-Drawer_-Business-Interiors-16777185.jpg?v=1750130655,https://v3b.fal.media/files/b/0a9814f1/-9MLeJFnRthBKkuGbc7o2_2dc817a6d22f43c7a0f4562694a96e98.jpg,/Users/leokatz/Desktop/Office Central/data/generated-img2img-images/institutional-series-lateral-file-cabinet-2-3-4-5-drawer-gen-2.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-112726
institutional-series-lateral-file-cabinet-2-3-4-5-drawer,"Institutional Series Lateral File Cabinet (2,3,4 & 5 Drawer)",3,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Institutional-Series-Lateral-File-Cabinet-_2_3_4-_-5-Drawer_-Business-Interiors-16777185.jpg?v=1750130655,https://v3b.fal.media/files/b/0a9814f3/GY_HxBYV4J5M4B2RhBspp_5f0432f98e934f03bf97800f1e6c1833.jpg,/Users/leokatz/Desktop/Office Central/data/generated-img2img-images/institutional-series-lateral-file-cabinet-2-3-4-5-drawer-gen-3.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-112726
institutional-series-lateral-file-cabinet-2-3-4-5-drawer,"Institutional Series Lateral File Cabinet (2,3,4 & 5 Drawer)",4,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Institutional-Series-Lateral-File-Cabinet-_2_3_4-_-5-Drawer_-Business-Interiors-16777185.jpg?v=1750130655,https://v3b.fal.media/files/b/0a9814f4/l2kEO4X7FLNhCseRerUPA_a6f3d117a0374d5aa56e20879d9c6d35.jpg,/Users/leokatz/Desktop/Office Central/data/generated-img2img-images/institutional-series-lateral-file-cabinet-2-3-4-5-drawer-gen-4.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-112726
teknion-boardroom,"Teknion ""Boardroom""",2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Teknion-_Boardroom_-Business-Interiors-16758665.png?v=1750126990,https://v3b.fal.media/files/b/0a9814f5/Vk6gyEjQuZL-TOLmCj7M4_57972c8c6f8b4da28aefcee3d0663dc9.jpg,/Users/leokatz/Desktop/Office Central/data/generated-img2img-images/teknion-boardroom-gen-2.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-112726
teknion-boardroom,"Teknion ""Boardroom""",3,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Teknion-_Boardroom_-Business-Interiors-16758665.png?v=1750126990,https://v3b.fal.media/files/b/0a9814f7/CmKd_ibOVpbNrCLjsfo3z_95c83ba5394341f396d8a5574532096b.jpg,/Users/leokatz/Desktop/Office Central/data/generated-img2img-images/teknion-boardroom-gen-3.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-112726
teknion-boardroom,"Teknion ""Boardroom""",4,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Teknion-_Boardroom_-Business-Interiors-16758665.png?v=1750126990,https://v3b.fal.media/files/b/0a9814f8/J0wLY-R9USjzseYHY-F41_ed7f24a11bb94bcb9e1b77a16cc102cc.jpg,/Users/leokatz/Desktop/Office Central/data/generated-img2img-images/teknion-boardroom-gen-4.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-112726
vitrola-lounge-seating-4-size-options,Vitrola Lounge Seating (4 Size options),2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/DB_8271_Y72K_ECM_Reg_2400x2400_b1f3421c-8b96-43e9-bdcc-c9af6019fe08.jpg?v=1776794856,https://v3b.fal.media/files/b/0a9814f9/hlkCwOuGMWRyvF6DwJ2kt_001f124411644ef8948976d12ad0dfc2.jpg,/Users/leokatz/Desktop/Office Central/data/generated-img2img-images/vitrola-lounge-seating-4-size-options-gen-2.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-112726
vitrola-lounge-seating-4-size-options,Vitrola Lounge Seating (4 Size options),3,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/DB_8271_Y72K_ECM_Reg_2400x2400_b1f3421c-8b96-43e9-bdcc-c9af6019fe08.jpg?v=1776794856,https://v3b.fal.media/files/b/0a9814fa/fSPN-aHC6F717Y_N8WOSQ_bf0a95a257a0478dbbc7e343620ef4c1.jpg,/Users/leokatz/Desktop/Office Central/data/generated-img2img-images/vitrola-lounge-seating-4-size-options-gen-3.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-112726
vitrola-lounge-seating-4-size-options,Vitrola Lounge Seating (4 Size options),4,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/DB_8271_Y72K_ECM_Reg_2400x2400_b1f3421c-8b96-43e9-bdcc-c9af6019fe08.jpg?v=1776794856,https://v3b.fal.media/files/b/0a9814fc/RiYq2wnD9i1C6u3vG8kYr_33bd184c810947ef87ca4b8ae172ad42.jpg,/Users/leokatz/Desktop/Office Central/data/generated-img2img-images/vitrola-lounge-seating-4-size-options-gen-4.jpg,,,"http 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to",FLAG_HUMAN,0,20260428-112726
