rank,product_id,handle,title,vendor,price_max,confidence,score,tier,recommended_subs,detected_line,detected_model,reason
11,9858778431801,cabinet-file-file-right-wardrobe-inv-6524cffwr-24,Cabinet / file / file / right wardrobe — INV-6524CFFWR-24,Brant Business Interiors,1299.99,none,8,B-WORTH-IT,fire-resistant-file-cabinets | high-density-storage | laminate-bookcases,,INV-6524CFFWR-24,+5 price>=500; +2 model:INV-6524CFFWR-24; +1 routing unknown
12,9693074391353,scoot-multi-purpose-lectern-8922bl-1,Scoot multi-purpose lectern — 8922BL,Brant Business Interiors,847.00,none,8,B-WORTH-IT,all-storage | gfg-storage | heartwood-storage,,8922BL,+5 price>=500; +2 model:8922BL; +1 routing unknown
13,9754651525433,shoptech-099rx,Shoptech — 099RX,Brant Business Interiors,799.99,none,8,B-WORTH-IT,all-seating | gfg-chairs | type-lounge,,099RX,+5 price>=500; +2 model:099RX; +1 routing unknown
14,9714121933113,atlas-sit-to-stand-height-adjustable-desk,Atlas sit to stand height adjustable desk,Brant Business Interiors,620.68,high,7,B-WORTH-IT,desk-top-sit-stand | height-adjustable-tables | desktop-sit-stand,atlas,,+5 price>=500; +2 line:atlas
15,9770509140281,basics-elora-home-office-synchro-tilter-chair-1,Basics elora home office synchro tilter chair,Brant Business Interiors,599.99,high,7,B-WORTH-IT,task-chairs | ergonomic-products | medium-back-seating,elora,,+5 price>=500; +2 line:elora
16,9688271159609,bow-front-desk-72x42,"Bow front desk — 72""X42""",Brant Business Interiors,899.99,high,7,B-WORTH-IT,desks | pedestal-drawers-storage | storage,,X42,+5 price>=500; +2 model:X42
17,9666752708921,echo-medium-back-multi-tilter-3671-3-1,Echo medium back multi-tilter (3671-3) — 3671-3,Brant Business Interiors,650.00,high,7,B-WORTH-IT,ergonomic-products | all-ergonomic | task-chairs,,3671-3,+5 price>=500; +2 model:3671-3
18,9893597905209,l-shape-desk-with-hutch,"L-shape desk with hutch — 72""X72""",Brant Business Interiors,1999.99,high,7,B-WORTH-IT,desks | l-shape-desks,,X72,+5 price>=500; +2 model:X72
19,9666752053561,echo-3670-3-task-chair,Echo 3670-3 task chair,Brant Business Interiors,699.99,med,7,B-WORTH-IT,chairs | task-chairs | ergonomic-products,,3670-3,+5 price>=500; +2 model:3670-3
20,9666746384697,granada-deluxe-high-back-multi-tilter-1170-3-2,Granada deluxe high back multi-tilter (1170-3) — 1170-3,Brant Business Interiors,669.99,med,7,B-WORTH-IT,task-chairs | ergonomic-products | big-heavy-seating,,1170-3,+5 price>=500; +2 model:1170-3
21,9667794239801,guest-chair-6960-moda,Guest chair 6960 moda,Brant Business Interiors,559.00,med,7,B-WORTH-IT,chairs | guest-seating | all-seating,,6960,+5 price>=500; +2 model:6960
22,9729489043769,kate-medium-back-armchair-2813,Kate medium back armchair (2813) — 2813,Brant Business Interiors,730.99,med,7,B-WORTH-IT,task-chairs | ergonomic-products | medium-back-seating,,2813,+5 price>=500; +2 model:2813
23,9733027758393,prime-49-6h-two-file-multi-stor-cabinet-36w-x-18d-one-adjustable-shelf-gucc41g1836p,"Prime 49.6""h two file multi-stor cabinet, 36""w x 18""d - one adjustable shelf (gucc41g1836p) — GUCC41G1836P",Brant Business Interiors,1899.00,med,7,B-WORTH-IT,lateral-file-cabinets-storage | all-storage | gfg-storage,,GUCC41G1836P,+5 price>=500; +2 model:GUCC41G1836P
24,9905517953337,robust-high-back-multi-tilter-chair-2526,Robust high back multi-tilter chair — 2526,Brant Business Interiors,1544.00,med,7,B-WORTH-IT,task-chairs | ergonomic-products | active-seating,,2526,+5 price>=500; +2 model:2526
25,9828305142073,sora-mesh-back-chair-6941-6942,Sora mesh back chair 6941 — 6942,Brant Business Interiors,799.99,med,7,B-WORTH-IT,ergonomic-products | all-ergonomic | chair-mats,,6941,+5 price>=500; +2 model:6941
26,9782603186489,two-drawer-lateral-file-nl3624lft,Two drawer lateral file — NL3624LFT,Brant Business Interiors,647.73,med,7,B-WORTH-IT,lateral-file-cabinets-storage | room-open-plan | training-flip-top-tables,,NL3624LFT,+5 price>=500; +2 model:NL3624LFT
27,10111254855993,6-drawer-end-tab-cabinet-s128-drawers,6 drawer end tab cabinet S128 drawers — 6 drawer,Brant Business Interiors,3499.99,low,7,B-WORTH-IT,fire-resistant-file-cabinets | lateral-file-cabinets-storage | vertical-file-cabinets-storage,,S128,+5 price>=500; +2 model:S128
28,9837829685561,scoot-8945bl-lectern,Scoot 8945BL lectern,Brant Business Interiors,829.99,low,7,B-WORTH-IT,mobile-storage | all-storage | gfg-storage,,8945BL,+5 price>=500; +2 model:8945BL
29,10017041875257,spritz-with-arms-and-castors-6765c,Spritz with arms and castors — 6765C,Brant Business Interiors,385.99,low,7,B-WORTH-IT,stools-drafting-chairs | type-chairs | global-teknion,spritz,6765C,+3 price>=200; +2 model:6765C; +2 line:spritz
30,10197752348985,part-time-armless-posture-task-chair,Part-Time | Armless Posture Task Chair,Office Central & Brant Business Interiors,299.99,med,6,B-WORTH-IT,task-chairs | ergonomic-products | all-ergonomic,,,+3 named vendor; +3 price>=200
31,9852995436857,display-shelving,Display shelving,Brant Business Interiors,1969.99,none,6,B-WORTH-IT,,,,+5 price>=500; +1 routing unknown
32,9817158025529,halifax-typical-9,Halifax typical 9,Brant Business Interiors,8999.99,none,6,B-WORTH-IT,all-tables | gfg-tables | heartwood-tables,,,+5 price>=500; +1 routing unknown
33,9903963603257,hutch-with-doors,Hutch with doors (assembled),Brant Business Interiors,779.00,none,6,B-WORTH-IT,,,,+5 price>=500; +1 routing unknown
34,9692198633785,lockerettes-6-tier-bank-of-3-36-x-18-x-72-steel-grey-rivet-assembled,"Lockerettes, 6 -tier, bank of 3, 36"" x 18"" x 72"", steel, grey, rivet (assembled) — 36"" x 18"" x 72""",Brant Business Interiors,1799.99,none,6,B-WORTH-IT,,,,+5 price>=500; +1 routing unknown
35,9702669975865,ranger-steel-4-post-table-42-w-x-30-d,Ranger steel 4-post table 42”w x 30”d,Brant Business Interiors,3987.00,none,6,B-WORTH-IT,desk-top-dividers | drafting-tables | end-tables-tables,,,+5 price>=500; +1 routing unknown
36,9702670467385,ranger-steel-4-post-table-42-w-x-30-d-with-drawer-safco,Ranger steel 4-post table 42”w x 30”d with drawer safco,Safco,4299.99,none,6,B-WORTH-IT,desk-top-dividers | drafting-tables | end-tables-tables,,,+5 price>=500; +1 routing unknown
37,9103329820985,security-safe-39-x-26-5-x-26-5-1,"Security safe — 39"" x 26.5"" x 26.5""",Brant Business Interiors,2548.00,none,6,B-WORTH-IT,chair-mats | fire-resistant-file-cabinets-safes | multi-person-workstations,,,+5 price>=500; +1 routing unknown
38,9667868524857,soft-pods,Soft pods,Brant Business Interiors,3412.00,none,6,B-WORTH-IT,all-business-furniture | business-furniture | podiums-av-furniture,,,+5 price>=500; +1 routing unknown
39,9968549429561,temptations-office-suite,Temptations office suite,Brant Business Interiors,4299.99,none,6,B-WORTH-IT,room-private-office | desk-top-dividers | medium-back-seating,,,+5 price>=500; +1 routing unknown
40,9968549888313,temptations-office-suite-copy,The corporate office suite,Brant Business Interiors,5499.99,none,6,B-WORTH-IT,room-private-office | desk-top-dividers | medium-back-seating,,,+5 price>=500; +1 routing unknown
41,9817942851897,the-halifax-collection,The halifax collection,Brant Business Interiors,99999.99,none,6,B-WORTH-IT,height-adjustable-tables | metal-vertical-files | side-coffee-table,,,+5 price>=500; +1 routing unknown
42,9726676795705,u-shaped-desk-with-3-stage-height-adjustable-table,"""u"" shaped desk with 3-stage height adjustable table",Brant Business Interiors,2111.00,high,5,B-WORTH-IT,desks | height-adjustable-tables | l-shape-desks,,,+5 price>=500
43,9103188459833,boat-shaped-conference-table-96-x-36-x-29,"Boat shaped conference table — 96"" x 36"" x 29""",Brant Business Interiors,799.99,high,5,B-WORTH-IT,meeting-tables | boardroom-conference-meeting | all-boardroom,,,+5 price>=500
44,9667812786489,bookcase-metal-2-size-options,Bookcase metal 2 size options — 2 size,Brant Business Interiors,529.99,high,5,B-WORTH-IT,bookcases | metal-vertical-files,,,+5 price>=500
45,9751461036345,credenza-storage-hutch,Credenza storage & hutch,Brant Business Interiors,1449.99,high,5,B-WORTH-IT,credenzas | storage | pedestal-drawers-storage,,,+5 price>=500
46,9859466658105,credenza-storage-storage-with-locks,Credenza storage / storage with locks,Brant Business Interiors,1279.99,high,5,B-WORTH-IT,storage | credenzas | all-storage,,,+5 price>=500
47,9788103917881,credenza-with-sliding-doors-36-high,"Credenza with sliding doors 36"" high — 36""",Brant Business Interiors,1329.99,high,5,B-WORTH-IT,credenzas | storage,,,+5 price>=500
48,9776398729529,deep-hi-boy-storage-cabinet-72-h-x-36-w-x-24-d,"Deep hi-boy storage cabinet 72"" h x 36"" w x 24"" d — 24""",Brant Business Interiors,999.99,high,5,B-WORTH-IT,storage | all-storage | gfg-storage,,,+5 price>=500
49,9455233368377,desk-l-shape-with-drawers,Desk l-shape with drawers,Brant Business Interiors,1299.00,high,5,B-WORTH-IT,desks | pedestal-drawers-storage | l-shape-desks,,,+5 price>=500
50,9039376023865,desk-u-shape-mlp205-1,Desk u-shape,Brant Business Interiors,1799.99,high,5,B-WORTH-IT,desks | u-shape-desks | room-open-plan,,,+5 price>=500
51,9726800527673,executive-suites-height-adjustable-desk,Executive suites height adjustable desk,Brant Business Interiors,4250.00,high,5,B-WORTH-IT,storage | height-adjustable-tables | pedestal-drawers-storage,,,+5 price>=500
52,9832199749945,felt-acoustic-room-dividers,Felt acoustic room dividers,Brant Business Interiors,1689.99,high,5,B-WORTH-IT,acoustic-panels | privacy-screens | desk-top-dividers,,,+5 price>=500
53,9693081895225,felt-sound-dampeners,Felt sound dampeners,Brant Business Interiors,1399.99,high,5,B-WORTH-IT,acoustic-panels | sound-dampeners | l-shape,,,+5 price>=500
54,9665393262905,height-adjustable-l-shape-71x71,"Height adjustable l-shape — 71""x71""",Brant Business Interiors,2499.00,high,5,B-WORTH-IT,pedestal-drawers-storage | storage | height-adjustable-tables,,,+5 price>=500
55,9733369233721,hideaway-storage-cabinet-1,Hideaway storage cabinet,Brant Business Interiors,2199.99,high,5,B-WORTH-IT,storage | mobile-storage | personal-storage,,,+5 price>=500
56,9782474211641,institutional-series-lateral-file-cabinet-2-3-4-5-drawer,"Institutional series lateral file cabinet (2,3,4 & 5 drawer) — 5 drawer",Brant Business Interiors,2399.99,high,5,B-WORTH-IT,storage | lateral-file-cabinets-storage | pedestal-drawers-storage,,,+5 price>=500
57,9776397713721,jumbo-storage-cabinet-assembled-72-h-x48w-x-24-d,"Jumbo storage cabinet assembled 72"" h x48""w x 24"" d — 24""",Brant Business Interiors,2299.99,high,5,B-WORTH-IT,storage | all-storage | gfg-storage,,,+5 price>=500
58,9983628968249,l-shape-suite-layout-41c,L-shape suite layout # — 41C,Brant Business Interiors,2099.99,high,5,B-WORTH-IT,storage | pedestal-drawers-storage | l-shape-desks,,,+5 price>=500
59,10086763954489,lateral-file-storage-cabinet-with-shelves-copy,Lateral file & storage cabinet with shelves,Brant Business Interiors,1683.00,high,5,B-WORTH-IT,storage | lateral-file-cabinets-storage | fire-resistant-file-cabinets-storage,,,+5 price>=500
60,9788847030585,modern-grigio-reception-desk,Modern grigio reception desk,Brant Business Interiors,2799.99,high,5,B-WORTH-IT,reception | lounge-reception | room-reception,,,+5 price>=500
61,9733027463481,prime-multi-storage-cabinet-lateral-file,Prime multi-storage cabinet / lateral file,Brant Business Interiors,2229.99,high,5,B-WORTH-IT,storage | lateral-file-cabinets-storage | all-storage,,,+5 price>=500
62,9098379854137,reception-desk-84-x-84-1,"Reception desk — 84"" x 84""",Brant Business Interiors,3438.90,high,5,B-WORTH-IT,reception | desks | office-furniture,,,+5 price>=500
63,9726655791417,single-pedestal-desk-60w-x-30d,"Single pedestal desk - 60""w x 30""d — 30""",Brant Business Interiors,696.00,high,5,B-WORTH-IT,pedestals | desks | storage,,,+5 price>=500
64,9722772357433,storage-cabinet-credenza-72w-x-24d,"Storage cabinet credenza, 72""w x 24""d — 24""",Brant Business Interiors,1503.82,high,5,B-WORTH-IT,storage | credenzas | all-storage,,,+5 price>=500
65,9853010051385,storage-cabinet-with-doors,Storage cabinet with doors,Brant Business Interiors,4569.99,high,5,B-WORTH-IT,storage | all-storage | gfg-storage,,,+5 price>=500
66,9664286523705,tl-high-back-multi-tilter,Tl | high back multi-tilter,Brant Business Interiors,649.00,high,5,B-WORTH-IT,task-chairs | ergonomic-products | medium-back-seating,,,+5 price>=500
67,10197035385145,wave-high-back-synchro-tilter,Wave | High Back Synchro-Tilter,Brant Business Interiors,399.99,high,5,B-WORTH-IT,task-chairs | ergonomic-products | all-ergonomic,wave,,+3 price>=200; +2 line:wave
68,9726668308793,l-shaped-desk-with-double-pedestals-72w-x-78d,"""l"" shaped desk with double pedestals - 72""w x 78""d — 78""",Brant Business Interiors,1376.00,med,5,B-WORTH-IT,desks | pedestals | storage,,,+5 price>=500
69,9726671814969,l-shaped-desk-with-single-pedestal-60w-x-72d,"""l"" shaped desk with single pedestal - 60""w x 72""d — 72""",Brant Business Interiors,1027.00,med,5,B-WORTH-IT,desks | pedestal-drawers-storage | storage,,,+5 price>=500
70,9726665031993,u-shaped-desk-72w-x-96d,"""u"" shaped desk - 72""w x 96""d — 96""",Brant Business Interiors,1296.59,med,5,B-WORTH-IT,desks | room-open-plan | all-quiet-spaces,,,+5 price>=500
71,9688170398009,agile-double-sided-8-pod-height-adjustable-shared-desk,Agile double sided 8-pod height adjustable shared desk,Brant Business Interiors,16038.00,med,5,B-WORTH-IT,height-adjustable-tables | desk-top-dividers | side-coffee-table,,,+5 price>=500
72,10170179911993,alphabetter-stand-up-desk,Alphabetter stand-up desk,Safco,562.79,med,5,B-WORTH-IT,desk-top-sit-stand | desktop-sit-stand | sit-stand-workstations,,,+5 price>=500
73,9664282657081,altona-high-back-leather-tilter,Altona | high back leather tilter,Brant Business Interiors,249.99,med,5,B-WORTH-IT,task-chairs | ergonomic-products | all-boardroom,altona,,+3 price>=200; +2 line:altona
74,9725776691513,anda-seat-phantom-king-gaming-style-office-chair,Anda seat phantom king gaming style office chair,Brant Business Interiors,599.99,med,5,B-WORTH-IT,ergonomic-products | all-ergonomic | room-private-office,,,+5 price>=500
75,9666375647545,bar-height-table,Bar height table,Brant Business Interiors,519.99,med,5,B-WORTH-IT,tables | round-square-tables | bar-height-tables,,,+5 price>=500
76,9768075526457,basics-comfort-time-ultra-multi-tilter-big-tall-with-headrest,Basics comfort-time ultra multi-tilter big & tall with headrest,Brant Business Interiors,794.99,med,5,B-WORTH-IT,task-chairs | ergonomic-products | big-heavy-seating,,,+5 price>=500
77,9832623735097,ceiling-grids-sound-acoustic-dampeners-orb,Ceiling grids sound acoustic dampeners orb,Brant Business Interiors,747.00,med,5,B-WORTH-IT,acoustic-solutions | sound-dampeners | all-ergonomic,,,+5 price>=500
78,9103344206137,chair-dolly-duet-chairs,Chair dolly (duet chairs),Brant Business Interiors,569.99,med,5,B-WORTH-IT,chairs | folding-stacking-chairs-carts | type-chairs,,,+5 price>=500
79,9770563141945,chevron-ultra-medium-back-multi-tilter-chair,Chevron ultra medium back multi-tilter chair,Brant Business Interiors,599.99,med,5,B-WORTH-IT,task-chairs | ergonomic-products | medium-back-seating,,,+5 price>=500
80,9843066274105,circular-reception-unit-w-41-r,Circular reception unit — W-41-R,Brant Business Interiors,6224.00,med,5,B-WORTH-IT,reception | lounge-reception | room-reception,,,+5 price>=500
81,9924895768889,cluster-seating,Cluster seating 4,Brant Business Interiors,1699.99,med,5,B-WORTH-IT,seating | all-seating | gfg-chairs,,,+5 price>=500
82,9114345603385,coffee-table-33-x-33-15-height-2,"Coffee table 33"" x 33"" 15"" height — 33"" x 33""",Brant Business Interiors,907.34,med,5,B-WORTH-IT,tables | gfg-tables | cafeteria-breakroom-tables,,,+5 price>=500
83,9911124263225,contemporary-metal-desk,Contemporary metal desk,Brant Business Interiors,1349.00,med,5,B-WORTH-IT,desks | bar-height-tables | laminate-bookcases,,,+5 price>=500
84,9693141827897,desk-top-divider-divide,Desk top divider divide,Brant Business Interiors,766.00,med,5,B-WORTH-IT,desks | all-desks | gfg-desks,,,+5 price>=500
85,9822363451705,dolly-for-sonic-chairs-6517ws,Dolly for sonic chairs — 6517WS,Brant Business Interiors,319.00,med,5,B-WORTH-IT,chairs | lounge-chairs-seating | all-seating,,6517WS,+3 price>=200; +2 model:6517WS
86,9693071737145,drafting-table,Drafting table,Brant Business Interiors,3999.99,med,5,B-WORTH-IT,tables | all-panels | otg-panels,,,+5 price>=500
87,9693076390201,drafting-table-custom,Drafting table custom,Brant Business Interiors,2899.99,med,5,B-WORTH-IT,tables | drafting-tables | side-coffee-table,,,+5 price>=500
88,9693073867065,drafting-table-precision-table-2-sizes,Drafting table precision table — 2 sizes,Brant Business Interiors,2999.99,med,5,B-WORTH-IT,tables | drafting-tables | side-coffee-table,,,+5 price>=500
89,9693072687417,drafting-table-safco-vista-drawing-table,Drafting table safco vista drawing table,Safco,549.99,med,5,B-WORTH-IT,tables | desk-top-dividers | drafting-tables,,,+5 price>=500
90,9665415807289,dual-sided-height-adjustable-table,Dual sided height adjustable table,Brant Business Interiors,2299.99,med,5,B-WORTH-IT,height-adjustable-tables | ergonomic-products | privacy-screens,,,+5 price>=500
91,10128802709817,electric-desk-riser-dual-monitor-arm,Electric desk riser + dual monitor arm,Brant Business Interiors,599.99,med,5,B-WORTH-IT,desks | monitor-arms | keyboard-trays,,,+5 price>=500
92,9103471608121,electric-height-adjustable-standing-desk-workstation-4,Electric height adjustable standing desk workstation,Brant Business Interiors,682.00,med,5,B-WORTH-IT,desk-top-sit-stand | height-adjustable-tables | all-desks,,,+5 price>=500
93,9114394001721,end-table-29-x-29-x-16,"End table — 29"" x 29"" x 16""",Brant Business Interiors,907.34,med,5,B-WORTH-IT,tables | gfg-tables | end-tables-tables,,,+5 price>=500
94,9982113481017,eor-guest-chair-mvl3920b,Eor guest chair — MVL3920B,Brant Business Interiors,209.99,med,5,B-WORTH-IT,chairs | guest-seating | leather-faux-seating,,MVL3920B,+3 price>=200; +2 model:MVL3920B
95,10170849231161,evolve-workstations,Evolve workstations,Brant Business Interiors,23000.00,med,5,B-WORTH-IT,acoustic-panels | all-desks | desks,,,+5 price>=500
96,9897192554809,executive-workstation-10x10,Executive workstation — 10'x10',Brant Business Interiors,5999.99,med,5,B-WORTH-IT,pedestal-drawers-storage | storage | room-open-plan,,,+5 price>=500
97,9832223867193,felt-acoustic-wall-tiles,Felt acoustic wall tiles,Brant Business Interiors,1399.99,med,5,B-WORTH-IT,walls | acoustic-panels,,,+5 price>=500
98,9779411976505,gardex-fireproof-lateral-file-2-3-4-drawer,"Gardex fireproof lateral file ( 2, 3 & 4 drawer) — 4 drawer",Brant Business Interiors,6999.99,med,5,B-WORTH-IT,lateral-file-cabinets-storage | vertical-file-cabinets-storage | fire-resistant-file-cabinets,,,+5 price>=500
99,9855858245945,height-adjustable-l-shape-table-1,Height adjustable l-shape table,Brant Business Interiors,1369.99,med,5,B-WORTH-IT,height-adjustable-tables | l-shape-desks | desks,,,+5 price>=500
100,9782607446329,height-adjustable-rectangular-table-2-legs-nl48243qht,Height adjustable rectangular table - 2 legs,Brant Business Interiors,799.99,med,5,B-WORTH-IT,height-adjustable-tables | room-open-plan | all-quiet-spaces,,,+5 price>=500
101,9683080249657,horseshoe-study-table-height-adjustable-c-shape-horseshoe-1,Horseshoe study table height adjustable c-shape horseshoe,Brant Business Interiors,999.99,med,5,B-WORTH-IT,tables | height-adjustable-tables | fire-resistant-file-cabinets,,,+5 price>=500
102,9693075505465,impromptu-lectern-1,Impromptu lectern,Brant Business Interiors,699.99,med,5,B-WORTH-IT,acoustic-panels | desk-top-sit-stand-ergonomic-products | all-ergonomic,,,+5 price>=500
103,9469554262329,indoor-planter,Indoor planter,Brant Business Interiors,1600.00,med,5,B-WORTH-IT,planters | acoustic-panels | all-quiet-spaces,,,+5 price>=500
104,9820585525561,koko-tables,Koko tables,Brant Business Interiors,779.99,med,5,B-WORTH-IT,tables | all-tables | gfg-tables,,,+5 price>=500
105,9669947326777,reception-unit-72x72,"L shape reception unit 72""x72"" 15B — 72""x72""",Brant Business Interiors,1999.99,med,5,B-WORTH-IT,reception | l-shape-desks | desks,,,+5 price>=500
106,9840940810553,l-shape-desk-with-36h-privacy-panel,"L-shape desk with 36""h privacy panel — 36""",Brant Business Interiors,2799.99,med,5,B-WORTH-IT,acoustic-panels | l-shape | panel-systems,,,+5 price>=500
107,9855829967161,l-shape-suire,L-shape suite — HTWLEV1LOOP,Brant Business Interiors,1319.99,med,5,B-WORTH-IT,l-shape-desks | desks | all-desks,,,+5 price>=500
108,10053881692473,l-shape-workstations,"L-shape workstations (9 sizes, 8 colours) — 9 sizes",Brant Business Interiors,899.99,med,5,B-WORTH-IT,l-shape-desks | desks | office-furniture,,,+5 price>=500
109,9822327505209,laminate-lockers-1,Laminate lockers,Brant Business Interiors,838.20,med,5,B-WORTH-IT,lockers | buy-canadian | laminate-bookcases,,,+5 price>=500
110,9800687845689,levels-l-shape,Levels l-shape,Brant Business Interiors,1449.99,med,5,B-WORTH-IT,l-shape-desks | desks | all-storage,,,+5 price>=500
111,9747754320185,levels-suite,Levels suite,Brant Business Interiors,1199.99,med,5,B-WORTH-IT,l-shape-desks | desks | office-furniture,,,+5 price>=500
112,9858891776313,links-custom-reception-unit-60x72,"Links custom reception unit — 60""x72""",Brant Business Interiors,2999.99,med,5,B-WORTH-IT,reception | ergonomic-products | all-ergonomic,,,+5 price>=500
113,9690804846905,lockers-2-tier-assembled,Lockers 2 tier (assembled),Brant Business Interiors,1279.99,med,5,B-WORTH-IT,lockers | storage-cabinets-lockers,,,+5 price>=500
114,9868797346105,lockers-2-tier,Lockers 2-tier,Brant Business Interiors,840.00,med,5,B-WORTH-IT,lockers | personal-storage | storage-cabinets-lockers,,,+5 price>=500
115,9690784596281,lockers-single-tier-assembled,Lockers single tier (assembled),Brant Business Interiors,1289.99,med,5,B-WORTH-IT,lockers | storage-cabinets-lockers,,,+5 price>=500
116,9667830776121,lotus-dx-sit-stand-workstation-dual-monitor-arm-extra,Lotus dx sit-stand workstation (dual monitor arm extra),Brant Business Interiors,763.89,med,5,B-WORTH-IT,desk-top-sit-stand | monitor-arms | desktop-sit-stand,,,+5 price>=500
117,9847159750969,luray-executive-chair,Luray executive chair,Brant Business Interiors,899.99,med,5,B-WORTH-IT,chairs | executive-seating | medium-back-seating,,,+5 price>=500
118,9785193038137,makerspace-tables,Makerspace tables,Brant Business Interiors,2622.00,med,5,B-WORTH-IT,tables | round-square-tables | all-tables,,,+5 price>=500
119,9882644414777,manual-height-adjustable-base,Manual height adjustable base (tops sold separately),Brant Business Interiors,699.99,med,5,B-WORTH-IT,height-adjustable-tables | desk-top-sit-stand | desktop-sit-stand,,,+5 price>=500
120,9795576660281,manual-height-adjustable-table,Manual height adjustable table,Brant Business Interiors,1348.00,med,5,B-WORTH-IT,desk-top-sit-stand | height-adjustable-tables | ergonomic-products,,,+5 price>=500
121,9729470857529,marche-guest-chair,Marche guest chair,Brant Business Interiors,670.64,med,5,B-WORTH-IT,chairs | guest-seating | stools-seating,,,+5 price>=500
122,9853059694905,meeting-table,Meeting table,Brant Business Interiors,529.99,med,5,B-WORTH-IT,tables | meeting-tables | training-flip-top-tables,,,+5 price>=500
123,9911112433977,metal-apex-desk,Metal apex desk,Brant Business Interiors,2499.99,med,5,B-WORTH-IT,desks | pedestals | storage,,,+5 price>=500
124,9683142836537,metal-desk-laminate-top,Metal desk laminate top,Brant Business Interiors,1799.99,med,5,B-WORTH-IT,desks | pedestal-drawers-storage | storage,,,+5 price>=500
125,9676180488505,ml-bar-stool,Ml bar stool,Brant Business Interiors,999.99,med,5,B-WORTH-IT,stools | lounge-chairs | reception-side-guest-chairs,,,+5 price>=500
126,9676178981177,ml-series-lounge-chair,Ml series lounge chair,Brant Business Interiors,1499.99,med,5,B-WORTH-IT,lounge | chairs | reception-side-guest-chairs,,,+5 price>=500
127,9788850307385,nutmeg-reception,Nutmeg reception,Brant Business Interiors,2733.00,med,5,B-WORTH-IT,reception | wardrobe-storage | all-storage,,,+5 price>=500
128,9749033386297,partitions-66-high-6-offices,"Partitions 66"" high 6 offices — 66""",Brant Business Interiors,4599.00,med,5,B-WORTH-IT,acoustic-panels | medium-back-seating | panels-partitions,,,+5 price>=500
129,9749031158073,partitions-66-high,"Partitions 66"" high — 66""",Brant Business Interiors,1299.99,med,5,B-WORTH-IT,acoustic-panels | medium-back-seating | panels-partitions,,,+5 price>=500
130,9676187631929,planters,Planters,Brant Business Interiors,799.99,med,5,B-WORTH-IT,planters | modular-workstations,,,+5 price>=500
131,9103182364985,plexiglass-hanging-modesty-panel-48-width-x-15-height-2,"Plexiglass hanging modesty panel - 48"" width x 15"" height — 15""",Brant Business Interiors,1999.99,med,5,B-WORTH-IT,acoustic-panels | room-private-office | laminate-bookcases,,,+5 price>=500
132,10040680808761,pneumatic-single-table,Pneumatic single table,Brant Business Interiors,945.00,med,5,B-WORTH-IT,desk-top-sit-stand | tables | desktop-sit-stand,,,+5 price>=500
