handle,primary_sku,manufacturer_guess,status,still_missing,filled,research_notes
basics-ergo-boss-executie-back-multi-tilter-chairs-bao28703,GLB-BAO28703,Global Furniture Group,UNSOURCEABLE,dimensions+weight,(none),"Ergo Boss (model 2870-3 / SKU BAO28703) is a Global 'Basics' sub-brand product. A series stub exists at globalfurnituregroup.com/series/ergo-boss, but its /resources page publishes NO spec sheet, brochure, or price list on the manufacturer domain (same empty result as ObusForme Elite; verified against the working Granada Deluxe resources for contrast). No dimensions or weight available on globalfu"
basics-preto-swivel-tilt-chair-1,GLB-OTG10720,Global Furniture Group,UNSOURCEABLE,dimensions+weight,(none),"SKU GLB-OTG10720 (OTG / Offices to Go model 10720, BBI name 'Preto'). Could NOT verify on any manufacturer domain. Model 10720 does not appear on officestogo.com (the OTG model URL resolves only to a generic JS 'Series | Offices to Go' template, no 10720 product), does not appear in Global Furniture Group's full Seating Price List PDF (admin.globalfurnituregroup.com/storage/102199/Seating_Price_Li"
bungee-tables-rectangular-flip-top-table-spider-legs-wheels,GLB-BX2442RES45BS,Global Furniture Group,UNSOURCEABLE,weight,(none),"Global Bungee flip-top rectangular table, spider legs with casters; SKU GLB-BX2442RES45BS (and sibling sizes BX2448/BX2460/BX3060/etc). The manufacturer pages (globalfurnituregroup.com/series/bungee-tables, /products/bungee-tables, /products/bungee-sl-tables) describe the series and leg options (tapered vs spider) but publish NO per-model dimensions or weight; the product-specifications resources "
concorde-high-back-executive-multi-tilter-2424,GLB-2400-18 PC60,Global Furniture Group,UNSOURCEABLE,weight,(none),"Manufacturer detail page (globalfurnituregroup.com) for model 2400-18 (High Back Executive Multi-Tilter) lists ONLY Model / Model No. / Dimensions / Resources. Dimensions verbatim 'W 26.00"" x D 28.00"" x H 48.00""'. NO product or shipping weight published anywhere on the Global manufacturer domain (no numeric weight field in page or embedded JSON; only generic quote-form 'Total weight' label). The o"
d-top-table,UN6030/DT/EG/MP,Global Furniture Group,UNSOURCEABLE,weight,(none),"Weight NOT found on any manufacturer domain. SKUs are UN6030/DT/EG/MP, UN7230/DT/EG, etc. The worklist tags vendor/manufacturer_guess as Global Furniture Group (site_hint globalfurnituregroup.com), but no D-top / UN-series page exists on globalfurnituregroup.com or officestogo.com matching these exact SKUs. The 'UN' prefix and slash-delimited SKU format (UN6030/DT/EG/MP) matches the 'Universal' la"
desk-top-divider-divide,GLO-DGP1224TUN-2@DPOST12TUN,Global Furniture Group,UNSOURCEABLE,weight,(none),"Product needs weight only. Found in Global Furniture Group's own 'Benching-and-Panels' price list (Divide section), hosted on the manufacturer domain admin.globalfurnituregroup.com (linked from globalfurnituregroup.com/series/divide/resources). This is a configurable 'Divide' glazed-panel product line: all_skus span DGP1224 through DGP2472 panels (each a different WT/LBS, e.g. DGP1224=3, DGP2424=4"
echo-3670-3-task-chair,GLB36703,Global Furniture Group,UNSOURCEABLE,weight,(none),"Dimensions confirmed verbatim on the Global Furniture Group manufacturer model page for Echo 3670-3 (High Back Multi-Tilter): 'W 26.00"" x D 26.50"" x H 50.00""' (page rendered via JS; captured through DataForSEO content parsing). The manufacturer model page lists overall dims only and does NOT include a seat-height range or any product/shipping weight. Reseller pages (newmarketofficefurniture.com, g"
ergo-boss-high-back-multi-tilter-chair-1,GLB=BAO2872-3,Global Furniture Group,UNSOURCEABLE,dimensions+weight,(none),"SKU GLB=BAO2872-3 is the 'Basics' brand Ergo Boss High Back Multi-Tilter (model 2872-3). Although the BBI vendor field says 'Global Furniture Group', this product is NOT on globalfurnituregroup.com (that site only carries the separate 'Ergo Select'/'G1 Ergo Select' lines; a search of the Global site returned no 'Ergo Boss' or BAO2872 product). The 'Basics' brand belongs to Canadian Workplace Solut"
ergo-boss-multi-tilter-chair-2,GLB2869-3G6,Global Furniture Group,UNSOURCEABLE,dimensions+weight,(none),"SKUs GLB2869-3G6 / GLB2872-3G6 / GLB2874-3G6 = Global 'Basics' Ergo Boss Multi-Tilter Chair (2869-3 medium back, 2872-3 high back, 2874-3 executive back). Manufacturer is Global Furniture Group, but the 'Basics' Ergo Boss line is NOT published on the manufacturer's own domain globalfurnituregroup.com (no Ergo Boss product page exists there; searched and fetched, only G1 Ergo Select / Tritek Ergo S"
flap-folding-chair-6775-1,GLB-6775,Global Furniture Group,UNSOURCEABLE,dimensions+weight,(none),"Model 6775 (Global Furniture Group Flap folding chair). Checked globalfurnituregroup.com/series/flap, /series/flap/models, /workplace/products/flap, /en-ca/series/flap/models, and product-specifications resource page. Manufacturer pages are JS-rendered; the only manufacturer text found is 'Flap measures just 2.5""' (folded thickness only) — no W/D/H, seat height, or weight in extractable text. Glob"
freefit-benching-height-adjustable-176w-x-62-5d-ffhab506-2,GLC-FFHAB506,Global Furniture Group,UNSOURCEABLE,weight,(none),Worklist only needs weight. Model FFHAB506 could NOT be found in any current manufacturer document. The FFHAB nomenclature belongs to the retired 2019 FreeFit HAB price list (https://www.globalfurnituregroup.com/assets/files/resources/pricelist_us/desking/freefit/FreeFit_HAB_Price_List_US_04.19.pdf) which now returns HTTP 404. The current Global FreeFit Benching product-spec PDF (admin.globalfurni
global-accord-back-knee-tilter-chair-1,GLB-2670-2,Global Furniture Group,UNSOURCEABLE,weight,(none),"Manufacturer detail page (globalfurnituregroup.com) for model 2670-2 lists ONLY Model / Model No. / Dimensions / Resources. Dimensions verbatim 'W 25.00"" x D 25.00"" x H 44.00""' (also in embedded JSON dimensions:{height:44.00,width:25.00,depth:25.00}). NO product or shipping weight is published anywhere on the Global manufacturer domain — the only 'weight' strings on the page are a quote-form label"
global-obusforme-elite-multi-tilter-chair-high-back,GLB2770-3G3,Global Furniture Group,UNSOURCEABLE,dimensions+weight,(none),"ObusForme Elite (model 2770-3) is a Global 'Basics' sub-brand product. A series stub exists at globalfurnituregroup.com/series/obusforme-elite, but its /resources page publishes NO spec sheet, brochure, or price list (only the generic graded-in-textile key list; the page returns a 404 placeholder). Confirmed by comparing the same scrape method against Granada Deluxe, which DID return real spec PDF"
kate-medium-back-armchair-2813,GLO-2813,Global Furniture Group,UNSOURCEABLE,weight,(none),"Manufacturer = Global Furniture Group. Kate model 2813 ('Medium Back Armchair', internal model id 218) confirmed on globalfurnituregroup.com/products/kate and the per-model detail page globalfurnituregroup.com/series/kate/models/2813. NO dimensions or weight obtainable from the manufacturer domain: the RSC/server payloads contain only UI i18n labels ('width':'Width','height':'Height','weight':'Wei"
l-shape-desk-with-36h-privacy-panel,GLB-DGP1272X3 - HDL-INN2436RSBR-3672CM-FPUF,Global Furniture Group,UNSOURCEABLE,dimensions+weight,(none),"Composite custom configuration, not a single catalog model. SKU 'GLB-DGP1272X3 - HDL-INN2436RSBR-3672CM-FPUF' combines Global Divide privacy panels (DGP1272 = 12""H x 72""W glazed panel, x3) with a Heartwood (HDL) L-shape desk (Innovations series, 36x72 + 24x36 return) and FPUF pedestal. No single manufacturer page publishes an OVERALL dimension or weight for this assembled product, and components s"
l-shape-desk-with-36h-privacy-panel-1,GLB-DGP1272X6 + DPOST36 x 2 - HDL-INN2436RSBR-3672CM-FPUF,Global Furniture Group,UNSOURCEABLE,weight,(none),"Composite custom configuration, not a single catalog model. SKU 'GLB-DGP1272X6 + DPOST36 x 2 - HDL-INN2436RSBR-3672CM-FPUF' combines Global Divide components (DGP1272 panels x6 + DPOST36 posts x2 = 36""H total panel stack) with a Heartwood (HDL) L-shape desk (Innovations 36x72 + 24x36 return) and FPUF pedestal. Title states overall '72""W x 72""D' but that is a derived title figure, not a verbatim ma"
loover-high-back-synchro-tilter,GLB-26618,Global Furniture Group,UNSOURCEABLE,weight,(none),"SKU GLB-26618 = Global Loover model 2661-8 (High Back Weight Sensing Synchro-Tilter). Dimensions confirmed verbatim on the Global Furniture Group manufacturer model page: 'W 25.50"" x D 24.00"" x H 42.50""' (JS-rendered page, captured via DataForSEO content parsing). The manufacturer model page lists overall dims only, no seat-height range and no product/shipping weight. No weight figure found on the"
management-u-shaped-suite-72w-x-102d,GLO-NLP103,Global Furniture Group,UNSOURCEABLE,weight,(none),Worklist SKU GLO-NLP103. Manufacturer = Global Furniture Group / Offices to Go (officestogo.com). PROBLEM: model number 'NLP103' does NOT exist in the current Newland Desking Packages catalog on officestogo.com (verified via DataForSEO content-parser full catalog dump; the .../NLP103 model URL redirects to the series listing). Under strict rule 3 I cannot fill values for a non-resolving SKU. CANDI
partitions-66-high,GLB-1@ML6660+2@ML6648FFP,Global Furniture Group,UNSOURCEABLE,dimensions+weight,(none),"This product's SKU GLB-1@ML6660+2@ML6648FFP is a MULTI-PANEL LAYOUT/BUNDLE = 1x ML6660FFP (60"" panel) + 2x ML6648FFP (48"" panels), all Offices to Go 66""-high freestanding fabric panels. The manufacturer site (officestogo.com) only publishes specs for the INDIVIDUAL component panels, not for this assembled bundle, so no single overall dimension or weight can be reported for the product as a whole ("
partitions-66-high-2-offices-1,GLB-2@ML6660+3@ML6648FFP,Global Furniture Group,UNSOURCEABLE,weight,(none),"Product SKU is a multi-panel BUNDLE: GLB-2@ML6660+3@ML6648FFP (2x ML6660 60""W panels + 3x ML6648FFP 48""W panels), a dealer-created configuration that does NOT exist as a single product on the manufacturer domain. The manufacturer (Offices to Go / Global, officestogo.com) publishes only per-component weights, not a bundle total. Verified component figures on the manufacturer domain: ML6660FFP = 59 "
partitions-66-high-3-offices-1,GLB-3@ML6660+4@ML6648FFP,Global Furniture Group,UNSOURCEABLE,weight,(none),"Product SKU is a multi-panel BUNDLE: GLB-3@ML6660+4@ML6648FFP (3x ML6660 60""W panels + 4x ML6648FFP 48""W panels), a dealer-created configuration not published as a single product on the manufacturer domain. Manufacturer (Offices to Go / Global, officestogo.com) publishes only per-component weights. Verified component figures on manufacturer domain: ML6660FFP = 59 lbs / 26.76 kg, 60""W x 1.3""D x 66"""
partitions-66-high-6-offices,GLB-3@ML6660+8@ML6648FFP,Global Furniture Group,UNSOURCEABLE,weight,(none),"Product SKU is a multi-panel BUNDLE: GLB-3@ML6660+8@ML6648FFP (3x ML6660 60""W panels + 8x ML6648FFP 48""W panels), a dealer-created configuration not published as a single product on the manufacturer domain. Manufacturer (Offices to Go / Global, officestogo.com) publishes only per-component weights. Verified component figures on manufacturer domain: ML6660FFP = 59 lbs / 26.76 kg, 60""W x 1.3""D x 66"""
privacy-desk-top-dividers,GLB-PT9PP3013-1,Global Furniture Group,UNSOURCEABLE,weight,(none),"SKUs GLB-PT9PP3013-1 through GLB-PT9PP7213-1 (desktop privacy dividers, sizing pattern appears to be width x 13""H: 30/36/42/48/54/60/66/72 wide). The model code 'PT9PP' returns NO Global Furniture Group product page in any search, and could not be tied to a manufacturer-domain spec page. The Global 'Universal Privacy Panels' (globalfurnituregroup.com/products/universal-panels) is a DIFFERENT, free"
rebound-armchair-polypropylene-seat-1,GLB-R5APPG,Global Furniture Group,UNSOURCEABLE,weight,(none),"Model R5APPG (Global Furniture Group Rebound armchair, polypropylene seat, with arms). Checked globalfurnituregroup.com/products/rebound, /series/rebound/models, and the official Rebound brochure PDF (files.globalfurnituregroup.com/.../23.0033_Rebound_WEB_BROC_04FA-US.pdf). The product/models pages are JavaScript-rendered and expose no text-readable dimension or weight table; the brochure PDF is i"
rebound-armchair-upholstered-seat-r5apug,GLB-R5APUG,Global Furniture Group,UNSOURCEABLE,weight,(none),"Model R5APUG (Global Furniture Group Rebound, armchair upholstered seat/poly back) only NEEDS weight. R5APUG is confirmed a real current model on the manufacturer domain — it is listed in Global's Fast Ship price brochure (files.globalfurnituregroup.com/files/resources/brochures/quick_delivery/fast5-fast10/fast_Quick_Ship_05.24_sm.pdf: 'R5APUG Armchair, Upholstered Seat/Poly Back ... $764'), but t"
regalia-task-mesh-chair-otg10892,GLBOTG10892,Global Furniture Group,UNSOURCEABLE,dimensions+weight,(none),"Model OTG10892 (Regalia, OTG = Offices To Go, a Global Furniture Group brand) does NOT appear anywhere on either manufacturer domain. Checked officestogo.com product pages (JS-rendered, no OTG10892 listing found via site search), the OTG resources/product-specifications cut-sheet list (no OTG10892 cut sheet exists; tried OTG10892_Cut_Sheet*.pdf variants -> all HTTP 404), and the current master cat"
robust-high-back-multi-tilter-chair-2526,GLB 2526,Global Furniture Group,UNSOURCEABLE,weight,(none),"Weight NOT found on the manufacturer domain (globalfurnituregroup.com). The Robust series, models, and resources pages were all fetched; they describe the 500 lb weight capacity and design features but the per-model spec table (with product/shipping weight) is dynamically rendered and not extractable as verbatim text via fetch, and no spec-sheet PDF URL for model 2526 could be located. Per strict "
stream-armchair-polypropylene-seat-back-2075app-1,GLO-2075APP,Global Furniture Group,UNSOURCEABLE,weight,(none),"SKU GLO-2075APP = Global Stream 'Armchair, Polypropylene Seat & Back' (model 2075APP). Dimensions verified verbatim on Global Furniture Group's own Stream model detail page (JS-rendered). Manufacturer publishes only W x D x H (no seat height, no weight). The official Stream brochure PDF on files.globalfurnituregroup.com contains no per-model dimension/weight table. Reseller officeanything.com list"
stream-armless-chair-polypropylene-seat-back-2075app,GLB-2075APP,Global Furniture Group,UNSOURCEABLE,weight,(none),"SKU MISMATCH CAUTION: worklist SKU is GLB-2075APP but the title says 'armless'. On Global's own site, 2075APP is the ARM chair; the ARMLESS polypropylene Stream model is 2075NPP (N=armless). Dimensions reported here (20.5""W x 25""D x 33.25""H) are for the correct armless model 2075NPP, verified verbatim on Global's Stream model detail page (JS-rendered). If the product is truly the armless chair, 20"
the-erin-armless-chair-wood-legs-gc36530,GLO-GC36530,Global Furniture Group,UNSOURCEABLE,weight,(none),"Manufacturer = Global Furniture Group. Erin (GC36530) confirmed on globalfurnituregroup.com/ca/products/erin and series/erin/models (model labeled 'Armless guest chair, wood legs'). NO dimensions or weight obtainable from the manufacturer domain: the Global site is a client-rendered Next.js app — product/model pages render only marketing copy and i18n label keys ('Width':'Width' etc.) server-side;"
the-twilight-armchair-wood-veneer-back-2198ws,GLO-2198,Global Furniture Group,UNSOURCEABLE,weight,(none),"Manufacturer = Global Furniture Group. Twilight model 2198WS (armchair, wood veneer back) confirmed on globalfurnituregroup.com/products/twilight and en-ca/series/twilight. NO dimensions or weight obtainable from the manufacturer domain — same root cause as the other Global items: client-rendered Next.js site exposes only marketing copy + i18n label keys server-side, and the model-specific dimensi"
u-shaped-suite-with-table-desk-72w-x-96d,GLO-NLP229,Global Furniture Group,UNSOURCEABLE,weight,(none),Worklist SKU GLO-NLP229. Manufacturer = Global Furniture Group / Offices to Go (officestogo.com is the manufacturer's own consumer brand site). PROBLEM: model number 'NLP229' does NOT exist as a live model in the current Newland Desking Packages catalog on officestogo.com. The model URL .../newland-packages/NLP229 redirects to the Newland packages series LISTING page (verified via DataForSEO conte
vitrola-lounge-seating-4-size-options,GLB8271,Global Furniture Group,UNSOURCEABLE,weight,(none),Worklist needs WEIGHT only. SKUs GLB8271/8272/8273/8274/8275 are Global Vitrola lounge/sofa/ottoman. Manufacturer page https://www.globalfurnituregroup.com/products/vitrola lists NO weight and no per-model dimensions. The Vitrola price book (https://www.globalfurnituregroup.com/assets/files/resources/pricelist_us/seating/vitrola/Vitrola_Price_Book_05.18.17.pdf) — the likely weight source — now ret
zira-workstation-3-person,GLB-ZRA515R,Global Furniture Group,UNSOURCEABLE,weight,(none),"SKU GLB-ZRA515R / GLB-ZRA515L is a multi-component 3-person Zira workstation cluster (a dealer 'typical'/configuration code), not an individual Global catalog part number. Global Furniture Group (globalfurnituregroup.com) publishes the Zira series and component price lists, but the linked Zira price-list PDFs returned HTTP 404 (stale URLs: pricelist_cdn/.../Zira_EN_04_12_21.pdf and pricelist_us/.."
zune-tilter-chair-black-fabric-seat-plastic-mesh-back-medium-back-otg11751b,GLBOTG11751B,Global Furniture Group,UNSOURCEABLE,dimensions+weight,(none),"Model OTG11751B (Zune mid/medium-back tilter, made by Global/Offices to Go). Manufacturer domain is officestogo.com. The model URL /products/model/management-seating/zune/OTG11751B (and the /en-ca/ variant) 301-redirects to the Zune SERIES page (/products/models/management-seating/zune) — i.e. OTG11751B has been discontinued and has no live manufacturer model page with dimensions or weight. Confir"
desk-shells,HDLINV2448DS,Heartwood Manufacturing,UNSOURCEABLE,dimensions+weight,(none),"SKUs HDLINV2448DS / INV3060DS / INV2466SH etc. = Heartwood 'Innovations' (INV) series desk shells. The Innovations/INV series is distributed through heartwooddl.com (Heartwood Distributors = distributor, disqualified) and is NOT carried as product pages on the manufacturer's own domain heartwood.ca (its shell categories are 388/600/Levels/850/Apollo, not INV). No verbatim per-model dimensions or w"
