title,handle,gid,first_sku,prefix,current_vendor,proposed_vendor,bucket,flag
Sonoma,sonoma,9683498795321,Sanoma,(placeholder),Brant Business Interiors,,A,orphan;no-real-code
Ryno patio furniture,ryno-patio-furniture-waterproof-polyethylene,9683645563193,(null),(no-sku),Brant Business Interiors,,A,no-sku
Agile 8-pod shared desk,agile-double-sided-8-pod-height-adjustable-shared-desk,9688170398009,(null),(no-sku),Brant Business Interiors,,A,no-sku
Screenflex 5 panel divider,screenflex-5-panel...,9688173543737,(null),(no-sku),Brant Business Interiors,,A,no-sku;title=Screenflex
Bow front desk 72x42,bow-front-desk-72x42,9688271159609,UN7242BWL/BBF,UN,Brant Business Interiors,Intelligent Office Furniture,A,subcode-confirm
Oci platinum monitor arms,oci-platinum-monitor-arms,9689001951545,ERGOACCESS-LR72-927B-G1,ERGOACCESS,Brant Business Interiors,,A,orphan
Lockers single tier,lockers-single-tier-assembled,9690784596281,SCN-FJ151,SCN,Brant Business Interiors,,A,scn-undecoded-steve-confirm
Lockers 2 tier,lockers-2-tier-assembled,9690804846905,SCN-FL396,SCN,Brant Business Interiors,,A,scn-undecoded-steve-confirm
Lockerettes 6-tier,lockerettes-6-tier-bank-of-3...,9692198633785,SCN-FJ173,SCN,Brant Business Interiors,,A,scn-undecoded-steve-confirm
Felt sound dampeners,felt-sound-dampeners,9693081895225,(null),(no-sku),Brant Business Interiors,,A,no-sku
Caster options [SERVICE],caster-options,9712829890873,(null),,Brant Business Interiors,Brant Business Interiors,B,house-label-confirm
Factor mesh back armchair,factor-mesh-back-armchair-casters-5545amc-1,9720592138553,(null; title 5545AMC),(no-sku),Brant Business Interiors,,A,no-sku;likely-Global-model-in-title
U-shape d-top workstation,u-shape-d-top-workstation,9720842944825,Asstd-see website,(placeholder),Brant Business Interiors,,A,orphan;no-real-code
Storage right ff sc left wardrobe,storage-right-ff-sc-left-wardrobe,9722809811257,UN3072FF/SC/WD/21,UN,Brant Business Interiors,Intelligent Office Furniture,A,subcode-confirm
Desk lamp 5.30W LED,desk-lamp-5-30-w-led...,9723829223737,BOSVLED500,BOSV,Brant Business Interiors,,A,orphan
LED desk lamp wireless charger,led-desk-lamp-with-wireless-charger-led,9723830337849,RDL-140QI-B,RDL,Brant Business Interiors,,A,orphan
LED desk lamp USB night light,led-desk-lamp-with-usb-and-night-light,9723832435001,RSIRDL110U,RSI,Brant Business Interiors,,A,orphan
Sphere power,sphere-power,9723869462841,SP22104P030 (var RIC-SP22104P900),RIC,Brant Business Interiors,Richelieu,A,none
Dual coloured bookcase,dual-coloured-bookcase-15-sizes-available,9729952809273,BCMB2429WHTSIDEPANEL,BCMB,Brant Business Interiors,,A,orphan
Hideaway storage cabinet,hideaway-storage-cabinet-1,9733369233721,JNT5946JC,JNT,Brant Business Interiors,,A,orphan
Delivery charge $85 [SERVICE],delivery-charge-85-00,9746670092601,Delivery85,,Brant Business Interiors,Brant Business Interiors,B,house-label-confirm
Installation475 [SERVICE],installation475,9746789433657,Installation475,,Brant Business Interiors,Brant Business Interiors,B,house-label-confirm
Installation1000 [SERVICE],installation1000,9746802016569,Installation1000,,Brant Business Interiors,Brant Business Interiors,B,house-label-confirm
Levels suite,levels-suite,9747754320185,HDL-LEV-4372MHHD2,HDL,Brant Business Interiors,Heartwood Manufacturing,A,label-confirm-HDL-distributor
Planter,planter,9753608388921,BEL-HFP154829-GVS,BEL,Brant Business Interiors,,A,orphan
Shoptech 099RX,shoptech-099rx,9754651525433,(null),(no-sku),Brant Business Interiors,,A,no-sku;title-Shoptech-likely-Horizon
Screenflex room dividers,screenflex-room-dividers,9757974364473,GLI T9AB226455,GLI,Brant Business Interiors,,A,orphan
Hardfloor casters [SERVICE],hardfloor-casters,9766928220473,MGE-1091503100000,MGE,Brant Business Interiors,Brant Business Interiors,B,house-label-confirm
Please select a Finish [PLACEHOLDER],please-select-a-finish,9769384116537,(null),,Brant Business Interiors,[UNPUBLISH],C,placeholder-unpublish
Jumbo storage cabinet,jumbo-storage-cabinet-assembled...,9776397713721,SCN-FL786,SCN,Brant Business Interiors,,A,scn-undecoded-steve-confirm
Deep hi-boy storage cabinet,deep-hi-boy-storage-cabinet...,9776398729529,SCN-FJ883,SCN,Brant Business Interiors,,A,scn-undecoded-steve-confirm
Delivery charge 175 [SERVICE],delivery-charge-175-00,9778565120313,OCD175,OCD,Brant Business Interiors,Brant Business Interiors,B,house-label-confirm
Makerspace tables,makerspace-tables,9785193038137,DIVERSIFIEDAFT48305,DIVERSIFIED,Brant Business Interiors,,A,orphan
Credenza sliding doors 36,credenza-with-sliding-doors-36-high,9788103917881,UN6024SC/SC/SLD2/36H,UN,Brant Business Interiors,Intelligent Office Furniture,A,subcode-confirm
Supra x chair,supra-x-chair-1,9795527344441,5333-3,(numeric),Brant Business Interiors,,A,orphan;likely-Global-numeric-model
Manual height adjustable table,manual-height-adjustable-table,9795576660281,HTM3058T/KEZLIFT,HTM,Brant Business Interiors,Heartwood Manufacturing,A,none
The halifax collection,the-halifax-collection,9817942851897,(null),(no-sku),Brant Business Interiors,,A,no-sku
Dolly for sonic chairs [SERVICE],dolly-for-sonic-chairs-6517ws,9822363451705,(null),,Brant Business Interiors,Brant Business Interiors,B,house-label-confirm
Felt acoustic room dividers,felt-acoustic-room-dividers,9832199749945,HCA4747-BAM9-T,HCA,Brant Business Interiors,,A,orphan
Felt acoustic wall tiles,felt-acoustic-wall-tiles,9832223867193,BEL HWS1212-CIR9,BEL,Brant Business Interiors,,A,orphan
Ceiling grids dampeners,ceiling-grids-sound-acoustic-dampeners-copy,9832616821049,BELAIR HCG473608-4DAG12,BELAIR,Brant Business Interiors,,A,orphan
Ceiling grids dampeners orb,ceiling-grids-sound-acoustic-dampeners-orb,9832623735097,BELAIR HCG16-ORB12,BELAIR,Brant Business Interiors,,A,orphan
Hardware for ceiling tiles [SERVICE],hardware-for-ceiling-tiles,9832764408121,9  HAC-PANCLAMP-PF,HAC,Brant Business Interiors,Brant Business Interiors,B,house-label-confirm
Ceiling baffles dampeners,ceiling-baffles-sound-acoustic-dampeners,9833161556281,(null),(no-sku),Brant Business Interiors,,A,no-sku
Coffee table,coffee-table-1,9862922142009,INVCOFREC2436,INV,Brant Business Interiors,Heartwood Manufacturing,A,subcode-confirm
Lockers 2-tier,lockers-2-tier,9868797346105,SCN-FN478,SCN,Brant Business Interiors,,A,scn-undecoded-steve-confirm
Please Select a Finish [PLACEHOLDER],please-select-a-finish-1,9893783208249,(null),,Brant Business Interiors,[UNPUBLISH],C,placeholder-unpublish
Hutch with doors,hutch-with-doors,9903963603257,UN36HUTDO/43,UN,Brant Business Interiors,Intelligent Office Furniture,A,subcode-confirm
Disposal program [SERVICE],dispose,9905594925369,OCI-DISPOSAL PROGRAM,OCI,Brant Business Interiors,Brant Business Interiors,B,house-label-confirm
Cluster seating 4,cluster-seating,9924895768889,(null),(no-sku),Brant Business Interiors,,A,no-sku;likely-MityBilt
Keys 2/set [SERVICE],keys-2-set,9960567046457,(null),,Brant Business Interiors,Brant Business Interiors,B,house-label-confirm
Eor guest chair MVL3920B,eor-guest-chair-mvl3920b,9982113481017,(null; title MVL3920B),MVL,Brant Business Interiors,Global Furniture Group,A,sub-brand-confirm;no-sku-model-in-title
Custom reception unit,custom-reception-unit-accessories,10008720867641,(null),(no-sku),Brant Business Interiors,,A,no-sku
Arm caps for 2330 chair [SERVICE],arm-caps-for-2330-chair,10023161004345,(null),,Brant Business Interiors,Brant Business Interiors,B,house-label-confirm
Sonic armchair 6513,sonic-armchair-polypropylene-seat-back-6513,10043552071993,(null; title 6513),(no-sku),Brant Business Interiors,,A,no-sku;likely-Global-model-in-title
Solid steel shelving starter,solid-steel-shelving-starter-set,10046412554553,(null),(no-sku),Brant Business Interiors,,A,no-sku
Colour [PLACEHOLDER],colour,10052613177657,(null),,Brant Business Interiors,[UNPUBLISH],C,placeholder-unpublish
L-shape workstations,l-shape-workstations,10053881692473,INV3060DS-INVHPF-INV2430RSBR,INV,Brant Business Interiors,Heartwood Manufacturing,A,subcode-confirm
Lateral file (used) 5 drawer,lateral-file-used-5-drawer-beige-nevada,10084137697593,(null),(no-sku),Brant Business Interiors,,A,no-sku;used-product
Grommet hole & cover [SERVICE],grommet-hole-cover,10085789335865,(null),,Brant Business Interiors,Brant Business Interiors,B,house-label-confirm
Coat tree,coat-tree,10102505341241,(null),(no-sku),Brant Business Interiors,,A,no-sku
Corner maker 2 sizes,corner-maker-2-sizes,10102691627321,ERG-CS25703,ERG,Brant Business Interiors,,A,orphan;likely-ergoCentric
6 drawer end tab cabinet,6-drawer-end-tab-cabinet-s128-drawers,10111254855993,TEK-LLF60L2036D1A 2102204,TEK,Brant Business Interiors,Teknion,A,vendor-keyed-collection-join
Round table 29 high,round-table-29-high-8-colours,10128782164281,INV900-SQB20-BLK R30,INV,Brant Business Interiors,Heartwood Manufacturing,A,subcode-confirm
Electric desk riser + monitor arm,electric-desk-riser-dual-monitor-arm,10128802709817,(null),(no-sku),Brant Business Interiors,,A,no-sku
Evolve workstations,evolve-workstations,10170849231161,(null),(no-sku),Brant Business Interiors,,A,no-sku
Delivery [SERVICE],delivery,10179884024121,(null),,Brant Business Interiors,Brant Business Interiors,B,house-label-confirm
Installation [SERVICE],installation-1,10179884155193,(null),,Brant Business Interiors,Brant Business Interiors,B,house-label-confirm
Ultra guest chair,ultra-guest-chair,10192184049977,(null),(no-sku),Brant Business Interiors,,A,no-sku
Wave High Back Synchro-Tilter,wave-high-back-synchro-tilter,10197035385145,(null),(no-sku),Brant Business Interiors,,A,no-sku
