surface,source_file,link_text,target_url,classification,redirect_target_if_any,recommendation
nav,theme/snippets/bbi-nav.liquid,Design Services,/pages/design-services,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Delivery & Installation,/pages/delivery,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Relocation Management,/pages/relocation,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Request a Quote,/pages/quote,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,FAQ,/pages/faq,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,About Us,/pages/about,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Our Work,/pages/our-work,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Customer Stories,/pages/customer-stories,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,OECM Procurement,/pages/oecm,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Contact,/pages/contact,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Phone: 1-800-835-9565,tel:18008359565,SKIPPED,,tel: link — skip verification
nav,theme/snippets/bbi-nav.liquid,View Cart,/cart,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Search (form action),/search,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Seating,/collections/seating,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Desks & Workstations,/collections/desks,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Storage & Filing,/collections/storage,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Tables,/collections/tables,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Boardroom,/collections/boardroom,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Ergonomic Products,/collections/ergonomic-products,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Panels & Dividers,/collections/panels-room-dividers,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Accessories,/collections/accessories,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Quiet Spaces,/collections/quiet-spaces,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Healthcare & Clinical,/pages/healthcare,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Education,/pages/education,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Government,/pages/government,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Non-Profit,/pages/non-profit,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Professional Services,/pages/professional-services,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,All industries,/pages/industries,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Design Services,/pages/design-services,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Delivery & Installation,/pages/delivery,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Relocation Management,/pages/relocation,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Request a Quote,/pages/quote,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,FAQ,/pages/faq,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,OECM Procurement,/pages/oecm,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Customer Stories,/pages/customer-stories,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Blog & Resources,/blogs/news,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Phone: 1-800-835-9565,tel:18008359565,SKIPPED,,tel: link — skip verification
footer,theme/snippets/bbi-footer.liquid,Email: info@brantbusinessinteriors.com,mailto:info@brantbusinessinteriors.com,SKIPPED,,mailto: link — skip verification
footer,theme/snippets/bbi-footer.liquid,OECM-eligible supplier (trust band),/pages/oecm,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Privacy,/policies/privacy-policy,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Terms,/policies/terms-of-service,HEALTHY-PUBLISHED,,No action
footer,theme/snippets/bbi-footer.liquid,Shipping,/policies/shipping-policy,HEALTHY-PUBLISHED,,No action
