product_id,product_handle,current_title,current_vendor,current_body_first_200,detected_manufacturer,confidence,evidence_summary,recommended_vendor_correction,sub_brand_detected,decision,product_type,sku_sample,sku_prefix,ambiguous_prefix
9103186002233,floor-chairmat-carpet-hard-floor-60-x-46,"Floor chairmat carpet, hard floor — 60"" x 46""",Brant Business Interiors,"Category Carpet Chair Mats Manufacturer Deflecto, LLC Manufacturer Ref CM23442FDUO Brand deflecto Item Code: DEFCM23442FDUO Stay-put, all-surface floor protection Designed for low-pile carpet and hard",deflecto,HIGH,"[HIGH] direct_name_match:'Manufacturer=Deflecto, LLC' in body->deflecto; [HIGH] direct_name_match:'Brand=deflecto' in body->deflecto; [HIGH] model_code:'SKU prefix DEF' in sku->deflecto",deflecto,,APPROVE,,DEF01471,DEF,
9103188459833,boat-shaped-conference-table-96-x-36-x-29,"Boat shaped conference table — 96"" x 36"" x 29""",Brant Business Interiors,"DESCRIPTION Conference Table is a perfect addition to an home or office where style, comfort, and functionality are combined Ideal & stylish look for your boardroom Boardroom tables are available for ",NONE,UNKNOWN,no manufacturer signal; sku_prefix=BURO,NONE,,,,BURO-CTBO 9636+ HB9636,BURO,BURO
9103328969017,security-safe-fire-resistant-50-5-x-26-5-1,"Security safe fire resistant — 50.5"" x 26.5""",Brant Business Interiors,"Category Safes Manufacturer Gardex, Inc Manufacturer Ref GX-4-21 Brand Gardex Item Code: GDXGX421 Offers convenient storage system for your valuables Define your own sequence of characters on the comb",Gardex,HIGH,"[HIGH] direct_name_match:'Manufacturer=Gardex, Inc' in body->Gardex; [HIGH] direct_name_match:'Brand=Gardex' in body->Gardex; [HIGH] model_code:'SKU prefix GDX' in sku->Gardex",Gardex,,APPROVE,,GDXGX421,GDXGX,
9103329820985,security-safe-39-x-26-5-x-26-5-1,"Security safe — 39"" x 26.5"" x 26.5""",Brant Business Interiors,"Category Safes Manufacturer Gardex, Inc Manufacturer Ref GX-3-21 Brand Gardex Item Code: GDXGX321 Be it a confidential document or other valuables, preserve them in ultimate protection No need to dist",Gardex,HIGH,"[HIGH] direct_name_match:'Manufacturer=Gardex, Inc' in body->Gardex; [HIGH] direct_name_match:'Brand=Gardex' in body->Gardex; [HIGH] model_code:'SKU prefix GDX' in sku->Gardex",Gardex,,APPROVE,,GDXGX321,GDXGX,
9103330115897,gardex-security-safe-fire-resistant-size-29-x-21-5-x-21-5-beige,"Gardex security safe- fire resistant -size 29"" x 21.5"" x 21.5"" - beige — 29"" x 21.5"" x 21.5""",Brant Business Interiors,"Category Safes Manufacturer Gardex, Inc Manufacturer Ref GX2-21 Brand Gardex Item Code: GDXGX221 Offers convenient storage system for your valuables Features combination locking system Features adjust",Gardex,HIGH,"[HIGH] direct_name_match:'Manufacturer=Gardex, Inc' in body->Gardex; [HIGH] direct_name_match:'Brand=Gardex' in body->Gardex; [HIGH] model_code:'SKU prefix GDX' in sku->Gardex",Gardex,,APPROVE,,GDXGX221,GDXGX,
9103331131705,gardex-security-safe-fire-resistant-24-x-18-5-x-18-5,"Gardex security safe - fire resistant — 24"" x 18.5"" x 18.5""",Brant Business Interiors,"Category Safes Manufacturer Gardex, Inc Manufacturer Ref GX-1-21 Brand Gardex Item Code: GDXGX121 Protects your valuables and give you peace of mind No need to distribute the security safe's key to ev",Gardex,HIGH,"[HIGH] direct_name_match:'Manufacturer=Gardex, Inc' in body->Gardex; [HIGH] direct_name_match:'Brand=Gardex' in body->Gardex; [HIGH] model_code:'SKU prefix GDX' in sku->Gardex",Gardex,,APPROVE,,GDXGX121,GDXGX,
9103337423161,round-table-x-base-5,Round table - x-base,Brant Business Interiors,"Newland 29""H Round Table - X-Base Designed with the demands of the modern office in mind, these multi-purpose tables bring people together by combining versatility and efficiency. With a range of tabl",Global Furniture Group,HIGH,[HIGH] model_code:'SKU prefix GLBN' in sku->Global Furniture Group,Global Furniture Group,,APPROVE,,GLBNL36RX,GLBNL,
9103339782457,casters-5-set-1,Casters- 5 / set,Brant Business Interiors,"Keep your chairs moving smoothly on hard floors without scratching the surface. The Global Upholstery C65RSET replacement caster set is a straightforward upgrade for office chairs used on vinyl, marbl",Global Furniture Group,HIGH,[HIGH] model_code:'SKU prefix GLBC' in sku->Global Furniture Group; [HIGH] direct_name_match:'Global Upholstery' in body->Global Furniture Group,Global Furniture Group,,APPROVE,,GLBC65RSET,GLBC,
9103344206137,chair-dolly-duet-chairs,Chair dolly (duet chairs),Brant Business Interiors,"Category Utility/Service Carts Manufacturer Global Upholstery Co., Inc Manufacturer Ref 6624 Brand Offices To Go Item Code : GLB6624 Stack chairs, with or without arms, with ease in a manner that allo",Global Furniture Group,HIGH,"[HIGH] direct_name_match:'Manufacturer=Global Upholstery Co., Inc' in body->Global Furniture Group; [HIGH] direct_name_match:'Brand=Offices To Go' in body->Global Furniture Group; [HIGH] model_code:'SKU prefix GLB' in sku->Global Furniture Group; [HIGH] direct_name_match:'Global Upholstery' in body->Global Furniture Group; [MEDIUM] sub_brand:'Offices To Go' in body->Global Furniture Group",Global Furniture Group,Offices To Go,APPROVE,,GLB6624,GLB,
9103347024185,craft-wedge-overtable-chrome-leg-1,Craft wedge overtable chrome leg,Brant Business Interiors,"Category Cafeteria & Breakroom Tables Manufacturer Global Upholstery Co., Inc Manufacturer Ref MVL13022 ACJ CM Brand Offices To Go Item Code: GLBMVL13022ACJCM Add a table to customize your look Fits o",Global Furniture Group,HIGH,"[HIGH] direct_name_match:'Manufacturer=Global Upholstery Co., Inc' in body->Global Furniture Group; [HIGH] direct_name_match:'Brand=Offices To Go' in body->Global Furniture Group; [HIGH] model_code:'SKU prefix GLBMV' in sku->Global Furniture Group; [HIGH] direct_name_match:'Global Upholstery' in body->Global Furniture Group; [MEDIUM] sub_brand:'Offices To Go' in body->Global Furniture Group",Global Furniture Group,Offices To Go,APPROVE,,GLBMVL13022ACJ,GLBMVL,
9103350169913,standing-desk-for-corner-desk-5,Standing desk for corner desk,Brant Business Interiors,"Category Monitor Stands/Risers Manufacturer 3M Manufacturer Ref SD80B Brand 3M Item Code : MMMSD80B Designed to fit 90° corner workstation. Gas assisted height adjustment provides smooth, quiet and co",3M,HIGH,[HIGH] direct_name_match:'Brand=3M' in body->3M; [HIGH] model_code:'SKU prefix MMM' in sku->3M,3M,,APPROVE,,MMM27880,MMM,
9103358984505,flip-top-table-48-x-24,"Flip-top table — 48"" x 24""",Brant Business Interiors,"Category Training Room Tables Manufacturer Global Upholstery Co., Inc Manufacturer Ref 76813 Brand Offices To Go Item Code: GLBML4824FTASN Flip top tables allow for easy storage and nesting Laminate t",Global Furniture Group,HIGH,"[HIGH] direct_name_match:'Manufacturer=Global Upholstery Co., Inc' in body->Global Furniture Group; [HIGH] direct_name_match:'Brand=Offices To Go' in body->Global Furniture Group; [HIGH] model_code:'SKU prefix GLBML' in sku->Global Furniture Group; [HIGH] direct_name_match:'Global Upholstery' in body->Global Furniture Group; [MEDIUM] sub_brand:'Offices To Go' in body->Global Furniture Group",Global Furniture Group,Offices To Go,APPROVE,,GLBML4824FTASN,GLBML,
9103363014969,workstation-96-x-50-x-29-4-person-station,"Workstation - 96"" x 50"" x 29"" (4 person station) — 96"" x 50"" x 29""",Brant Business Interiors,"Category Workstations/Computer Desks Manufacturer Global Upholstery Co., Inc Manufacturer Ref 76825 Brand Offices To Go Item Code: GLBMLP496ASN 4-person workstation Package contains combined workstati",Global Furniture Group,HIGH,"[HIGH] direct_name_match:'Manufacturer=Global Upholstery Co., Inc' in body->Global Furniture Group; [HIGH] direct_name_match:'Brand=Offices To Go' in body->Global Furniture Group; [HIGH] model_code:'SKU prefix GLBML' in sku->Global Furniture Group; [HIGH] direct_name_match:'Global Upholstery' in body->Global Furniture Group; [MEDIUM] sub_brand:'Offices To Go' in body->Global Furniture Group",Global Furniture Group,Offices To Go,APPROVE,,GLBMLP496ASN,GLBMLP,
9103460696377,file-buddy-swivel-stool-black-vinyl,File buddy swivel stool black — Vinyl,Brant Business Interiors,"Category Stools & Drafting Chairs Manufacturer Global Upholstery Co., Inc Brand Global Item Code: GLBMVL1105 Global® File Buddy™ Mobile Swivel Stools. The comfortable solution for filing and other tas",Global Furniture Group,HIGH,"[HIGH] direct_name_match:'Manufacturer=Global Upholstery Co., Inc' in body->Global Furniture Group; [HIGH] direct_name_match:'Brand=Global' in body->Global Furniture Group; [HIGH] model_code:'SKU prefix GLB' in sku->Global Furniture Group; [HIGH] direct_name_match:'Global Upholstery' in body->Global Furniture Group; [HIGH] model_code:'MVL1105 (MVL Ibex line)' in sku->Global Furniture Group",Global Furniture Group,,APPROVE,,GLB MVL1105,GLB,
9103471608121,electric-height-adjustable-standing-desk-workstation-4,Electric height adjustable standing desk workstation,Brant Business Interiors,"Category Workstations/Computer Desks Manufacturer Victor Technology, LLC Manufacturer Ref DC400 Brand Victor Item Code : VCTDC400 multipurpose desktop riser - Built to fit your needs and keep your equ",Victor,HIGH,"[HIGH] direct_name_match:'Manufacturer=Victor Technology, LLC' in body->Victor; [HIGH] direct_name_match:'Brand=Victor' in body->Victor; [HIGH] model_code:'SKU prefix VCT' in sku->Victor",Victor,,APPROVE,,VCT00400,VCT,
9103475704121,desktop-riser-black-2,Desktop riser — Black,Brant Business Interiors,"Category Workstations/Computer Desks Manufacturer Global Upholstery Co., Inc Manufacturer Ref MVL5230B0 Brand Offices To Go Item Code : GLBMVL5230B0 multipurpose desktop riser - Built to fit your need",Global Furniture Group,HIGH,"[HIGH] direct_name_match:'Manufacturer=Global Upholstery Co., Inc' in body->Global Furniture Group; [HIGH] direct_name_match:'Brand=Offices To Go' in body->Global Furniture Group; [HIGH] model_code:'SKU prefix GLBMV' in sku->Global Furniture Group; [HIGH] direct_name_match:'Global Upholstery' in body->Global Furniture Group; [MEDIUM] sub_brand:'Offices To Go' in body->Global Furniture Group",Global Furniture Group,Offices To Go,APPROVE,,GLBMVL5230B0,GLBMVL,
9113895928121,table-29-x-28-3,"Table — 29"" x 28""",Brant Business Interiors,"Category Cafeteria & Breakroom Tables Manufacturer Global Upholstery Co., Inc Manufacturer Ref DTS1828P BLK Brand Offices To Go Item Code: GLBDTS1828PBLK Lightweight and durable stacking tables Waterf",Global Furniture Group,HIGH,"[HIGH] direct_name_match:'Manufacturer=Global Upholstery Co., Inc' in body->Global Furniture Group; [HIGH] direct_name_match:'Brand=Offices To Go' in body->Global Furniture Group; [HIGH] model_code:'SKU prefix GLBD' in sku->Global Furniture Group; [HIGH] direct_name_match:'Global Upholstery' in body->Global Furniture Group; [MEDIUM] sub_brand:'Offices To Go' in body->Global Furniture Group",Global Furniture Group,Offices To Go,APPROVE,,GLBDTS1828PBLK,GLBDTS,
9113935479097,tables-dolly-8,Tables dolly,Brant Business Interiors,"Category Utility/Service Carts Manufacturer Global Upholstery Co., Inc Manufacturer Ref DTD20 Brand Global Item Code: GLBDTD20 High density mobile dolly Stacks up to 40 high Weight Capacity: 300 lbs. ",Global Furniture Group,HIGH,"[HIGH] direct_name_match:'Manufacturer=Global Upholstery Co., Inc' in body->Global Furniture Group; [HIGH] direct_name_match:'Brand=Global' in body->Global Furniture Group; [HIGH] model_code:'SKU prefix GLBD' in sku->Global Furniture Group; [HIGH] direct_name_match:'Global Upholstery' in body->Global Furniture Group",Global Furniture Group,,APPROVE,,GLBDTD20,GLBDTD,
9114029326649,table-29-x-28-5,"Table — 29"" x 28""",Brant Business Interiors,"Category Student Desks Manufacturer Global Upholstery Co., Inc Manufacturer Ref DTS1828P IVC Brand Global Item Code: GLBDTS1828PIVC Table is a perfect addition to an home or office where style, comfor",Global Furniture Group,HIGH,"[HIGH] direct_name_match:'Manufacturer=Global Upholstery Co., Inc' in body->Global Furniture Group; [HIGH] direct_name_match:'Brand=Global' in body->Global Furniture Group; [HIGH] model_code:'SKU prefix GLBD' in sku->Global Furniture Group; [HIGH] direct_name_match:'Global Upholstery' in body->Global Furniture Group",Global Furniture Group,,APPROVE,,GLBDTS1828PIVC,GLBDTS,
9114131923257,table-18x28,"Table — 18""x28""",Brant Business Interiors,"Category Student Desks Manufacturer Global Upholstery Co., Inc Manufacturer Ref DTS1828PG IVC Brand Global Item Code: GLBDTS1828PGIVC This table will hold up to demanding values and provide solutions ",Global Furniture Group,HIGH,"[HIGH] direct_name_match:'Manufacturer=Global Upholstery Co., Inc' in body->Global Furniture Group; [HIGH] direct_name_match:'Brand=Global' in body->Global Furniture Group; [HIGH] model_code:'SKU prefix GLBD' in sku->Global Furniture Group; [HIGH] direct_name_match:'Global Upholstery' in body->Global Furniture Group",Global Furniture Group,,APPROVE,,GLBDTS1828PGIVC,GLBDTS,
9114164527417,casters-2-5-set-1,"Casters - 2"" 5 / set — 2""",Brant Business Interiors,"Replacement casters that keep your Global chair rolling the way it should. When a caster wears out or breaks, the right replacement makes all the difference. This set of five 2"" black casters (model C",Global Furniture Group,HIGH,[HIGH] model_code:'SKU prefix GLBC' in sku->Global Furniture Group; [HIGH] direct_name_match:'Global Upholstery' in body->Global Furniture Group,Global Furniture Group,,APPROVE,,GLBC65SET,GLBC,
9114228523321,aktivity-rectangle-height-adjustable-table,Aktivity Rectangle Height Adjustable Table,Brant Business Interiors,"Available in the following sizes: 24"" x 24"", 24"" x 48"", 24"" x 60"" and 30"" x 60"" Available in the following heights: 17"" - 25"", 22"" - 30"" and 30"" - 42"" Maple high pressure scratch resistant laminate Si",NONE,UNKNOWN,no manufacturer signal; sku_prefix=MTY,NONE,,,,MTY-IS-AT2424,MTY,MTY
9114345603385,coffee-table-33-x-33-15-height-2,"Coffee table 33"" x 33"" 15"" height — 33"" x 33""",Brant Business Interiors,"Category Reception Area & Accent Tables Manufacturer Global Upholstery Co., Inc Manufacturer Ref 7889 Brand Global Item Code: GLB7889 Cafeteria Table is a perfect addition to an home/office where styl",Global Furniture Group,HIGH,"[HIGH] direct_name_match:'Manufacturer=Global Upholstery Co., Inc' in body->Global Furniture Group; [HIGH] direct_name_match:'Brand=Global' in body->Global Furniture Group; [HIGH] model_code:'SKU prefix GLB' in sku->Global Furniture Group; [HIGH] direct_name_match:'Global Upholstery' in body->Global Furniture Group",Global Furniture Group,,APPROVE,,GLB7889,GLB,
