handle,current_title,draft_title,title_chars,preserved_codes,notes
foundations-sport-splash-quad-strollers,"Foundations Sport Splash, Quad Strollers",Foundations Sport Splash quad stroller,38,,No model code in source; product type normalised
caster-options,Caster Options,Caster options,14,,no brand or model code in source
aeramax-air-purifier-true-hepa-plasmatrue-1,"AeraMax® Air Purifier - True HEPA, PlasmaTrue","AeraMax Air Purifier — True HEPA, PlasmaTrue",44,,no model code in source
anti-fatigue-wellness-mat-36-x-24-5,"Anti-Fatigue Wellness Mat  36"" x 24""","Anti-fatigue wellness mat — 36"" x 24""",37,,No brand or model code in source.
4-person-workstation,4 Person Workstation,4-person workstation,20,,no model code or brand in source
6-person-workstation-chairs-bridges,6 Person Workstation & Chairs Bridges,Bridges 6-person workstation and chairs set,43,,no model code in source; brand clarity uncertain
aktivity-environ-table,Aktivity Environ table,Aktivity Environ table,22,,no brand surfaced; no model code present
aktivity-puddle,Aktivity Puddle,Aktivity Puddle table,21,,no model code in source; brand unclear
arlo-lounge-swivel-task-chair-1,Arlo | Lounge Swivel Task Chair,Arlo lounge swivel task chair,29,,no brand surfaced; no model code in source
array-stand-as-air-purifier-1,Array™ Stand AS Air Purifier,Array AS Air purifier,21,,No model code in source; brand 'Array' retained as product family name
auditorium-lecture-hall-seating,Auditorium / Lecture Hall Seating,Auditorium and lecture hall seating,35,,no brand or model code in source
auditorium-lecture-hall-seating-my-space,Auditorium / Lecture Hall Seating My Space,My Space auditorium and lecture hall seating,44,,no model code in source
av-stand-sa-81-3016,AV Stand SA-81-3016,AV stand SA-81-3016,19,SA-81-3016,
casters-2-5-set-1,"Casters - 2"" 5 / Set","Casters 2"" — set of 5",21,,no model code in source
casters-5-set-1,Casters- 5 / Set,Casters — set of 5,18,,No brand or model code in source.
ceiling-baffles-sound-acoustic-dampeners,Ceiling Baffles Sound Acoustic Dampeners,Ceiling baffles sound acoustic dampeners,40,,no brand or model code in source
ceiling-grids-sound-acoustic-dampeners-1,Ceiling Grids Sound Acoustic Dampeners,Ceiling grid acoustic dampeners,31,,No brand or model code in source
desktop-sit-stand-workstation-mvl5230b0,Desktop Sit-Stand Workstation MVL5230B0,MVL5230B0 Desktop sit-stand workstation,39,MVL5230B0,no brand surfaced
gc-comet-bariatric-stacking-armchair-gc2180-1,GC Comet™ Bariatric Stacking Armchair (GC2180),Global GC2180 Comet bariatric stacking armchair,47,GC2180,code preserved
global-recliner-primacare-gc3608mrc,Global Recliner Primacare GC3608MRC,Global GC3608MRC Primacare recliner,35,GC3608MRC,code preserved
indestructible-ryno-furniture,Indestructible Ryno Furniture,Ryno outdoor furniture,22,,No model code in source; brand 'Ryno' retained
nesting-training-table-8-colour-choices,Nesting Training Table (8 Colour Choices),Nesting training table — 8 colour choices,41,,no brand surfaced
outdoor-park-benches,Outdoor Park Benches,Outdoor park benches,20,,no brand or model code in source
terina-training-tables-rectangular-table-8-sizes,Terina™ Training Tables Rectangular Table 8 Sizes,Terina training table — 8 sizes,31,,No brand or model code in source; trademark stripped.
