keyword,volume,kd,position,etv,type,intent,url
office furniture ottawa,260,HIGH,9,12.2,LANDING,navigational,https://theofficeshop.ca/locations/ottawa/
track office furniture,1900,LOW,18,9.7,LANDING(home),navigational,https://theofficeshop.ca/
krug,1600,LOW,17,9.4,LANDING,informational,https://theofficeshop.ca/product_brands/krug/
keilhauer,1900,LOW,24,8.2,LANDING,informational,https://theofficeshop.ca/product_brands/keilhauer/
office equipment store,1600,LOW,19,8.2,LANDING(home),navigational,https://theofficeshop.ca/
krug inc,720,LOW,14,8.1,LANDING,navigational,https://theofficeshop.ca/product_brands/krug/
global dealer centre,170,LOW,5,8.0,BLOG,navigational,https://theofficeshop.ca/resources/global-furniture-group-leader/
newmarket office furniture,390,MEDIUM,10,7.7,LANDING,navigational,https://theofficeshop.ca/locations/newmarket-office-furniture/
keilhauer furniture,210,LOW,11,7.1,LANDING,navigational,https://theofficeshop.ca/product_brands/keilhauer/
office furniture mississauga,210,HIGH,11,7.1,LANDING,navigational,https://theofficeshop.ca/locations/office-furniture-mississauga-ontario/
used office furniture mississauga,210,HIGH,10,7.1,LANDING(home),transactional,https://theofficeshop.ca/used-products/
codan canada,140,LOW,6,6.6,BLOG,navigational,https://theofficeshop.ca/resources/codan-canada/
office chairs london ontario,90,HIGH,7,5.9,LANDING,navigational,https://theofficeshop.ca/locations/london/
office furniture rentals,90,MEDIUM,7,5.9,LANDING(home),commercial,https://theofficeshop.ca/rentals/
used office furniture brampton,90,HIGH,6,5.9,LANDING(home),commercial,https://theofficeshop.ca/used-products/
office chair near me,2400,HIGH,26,5.8,LANDING(home),transactional,https://theofficeshop.ca/office-chairs-toronto/
office stock,1000,MEDIUM,16,5.1,LANDING(home),informational,https://theofficeshop.ca/
used office furniture oakville,50,HIGH,6,4.9,LANDING,transactional,https://theofficeshop.ca/product_brands/used-office-furniture/
ki furniture,320,LOW,13,4.8,LANDING,navigational,https://theofficeshop.ca/product_brands/ki/
toronto office furniture inc,70,LOW,4,4.6,LANDING(home),navigational,https://theofficeshop.ca/
used office furniture dealers,70,HIGH,7,4.6,LANDING(home),commercial,https://theofficeshop.ca/used-products/
humanscale chair,720,HIGH,17,4.2,LANDING,transactional,https://theofficeshop.ca/product_brands/humanscale/
keilhauer desk chairs,90,HIGH,5,4.2,LANDING,transactional,https://theofficeshop.ca/product_brands/keilhauer/
office furniture for lease,90,HIGH,8,4.2,LANDING(home),commercial,https://theofficeshop.ca/rentals/
second hand office furniture near me,720,HIGH,19,4.0,LANDING,navigational,https://theofficeshop.ca/product_brands/used-office-furniture/
used office furniture burlington,110,HIGH,9,3.7,LANDING,transactional,https://theofficeshop.ca/product_brands/used-office-furniture/
used office furniture burlington ontario,110,HIGH,9,3.7,LANDING,commercial,https://theofficeshop.ca/product_brands/used-office-furniture/
furniture store in markham ontario,720,HIGH,20,3.7,LANDING(home),navigational,https://theofficeshop.ca/
canadian commercial furniture,140,HIGH,7,3.6,BLOG,commercial,https://theofficeshop.ca/resources/canadian-commercial-furniture-brands/
office furniture warehouse,170,HIGH,12,3.3,LANDING(home),commercial,https://theofficeshop.ca/
2nd hand office chair,590,HIGH,19,3.3,LANDING(home),transactional,https://theofficeshop.ca/used-products/
lacasse,1000,LOW,22,3.3,LANDING,informational,https://theofficeshop.ca/product_brands/groupe-lacasse/
used office furniture markham,70,HIGH,8,3.3,LANDING(home),transactional,https://theofficeshop.ca/
imt modular partitions,90,LOW,7,3.0,PDP,informational,https://theofficeshop.ca/products/imt-free-standing-modular-partitions/
used office desk and chair,590,HIGH,23,2.5,LANDING,transactional,https://theofficeshop.ca/product_brands/used-office-furniture/
workspace 48,260,LOW,12,2.4,LANDING,navigational,https://theofficeshop.ca/product_brands/workspace-48/
the furniture guys office furniture store in toronto,140,LOW,9,2.1,LANDING(home),navigational,https://theofficeshop.ca/
3h furniture,260,LOW,14,2.0,LANDING,navigational,https://theofficeshop.ca/product_brands/three-h/
office store,260,MEDIUM,17,2.0,LANDING(home),navigational,https://theofficeshop.ca/
lacasse furniture,170,HIGH,13,1.9,LANDING,navigational,https://theofficeshop.ca/product_brands/groupe-lacasse/
