keyword,volume,kd,position,etv,type,intent,url
task chair,590,HIGH,2,179.4,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating/task-chairs
electric standing desk,1600,HIGH,4,155.7,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/standing-desks-and-height-adjustable-tables
sit and stand desk,4400,HIGH,8,148.7,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/standing-desks-and-height-adjustable-tables
sit stand desk,4400,HIGH,7,148.7,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/standing-desks-and-height-adjustable-tables
big and tall office chairs,480,HIGH,1,145.9,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating/big-and-tall
desk chairs vancouver,480,HIGH,4,145.9,COLLECTION,commercial,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating/ergonomic-chairs
office chairs vancouver,480,HIGH,4,145.9,COLLECTION,navigational,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating/ergonomic-chairs
office chairs vancouver bc,480,HIGH,3,145.9,COLLECTION,navigational,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating/ergonomic-chairs
office dividers,480,HIGH,2,145.9,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/office-partitions-and-cubicles
source furniture vancouver,480,MEDIUM,1,145.9,LANDING(home),navigational,https://www.sourceofficefurniture.ca/office-furniture-vancouver-british-columbia
source office furniture vancouver,480,MEDIUM,1,145.9,LANDING(home),navigational,https://www.sourceofficefurniture.ca/office-furniture-vancouver-british-columbia
drafting chair,880,HIGH,2,142.6,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating/stools-and-drafting-chairs
office furniture edmonton,590,HIGH,4,136.3,LANDING(home),navigational,https://www.sourceofficefurniture.ca/edmonton-alberta-showroom
canadian office chairs,2900,HIGH,7,136.0,COLLECTION,navigational,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating
logiflex,1300,LOW,6,126.5,LANDING,navigational,https://www.sourceofficefurniture.ca/brand/logiflex
stackable chairs,1300,HIGH,6,126.5,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating/stacking-and-folding-chairs
l-shaped desk,8100,HIGH,11,121.5,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/desks-and-workstations/corner-and-l-shaped-desks
stand,8100,LOW,11,121.5,COLLECTION,informational,https://www.sourceofficefurniture.ca/shop/standing-desks-and-height-adjustable-tables
corner office desk,390,HIGH,2,118.6,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/desks-and-workstations/corner-and-l-shaped-desks
cubicle office partition,390,HIGH,3,118.6,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/office-partitions-and-cubicles
desks sets,390,MEDIUM,3,118.6,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/desks-and-workstations
folding chairs steel,390,HIGH,3,118.6,LANDING(home),transactional,https://www.sourceofficefurniture.ca/commercial-grade-steel-folding-chair
lateral filing cabinet,390,HIGH,1,118.6,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/filing-cabinets/lateral-filing-cabinets
office desk for sale,390,HIGH,2,118.6,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/desks-and-workstations
office partitions,390,HIGH,2,118.6,COLLECTION,commercial,https://www.sourceofficefurniture.ca/shop/office-partitions-and-cubicles
source office,390,HIGH,1,118.6,LANDING(home),navigational,https://www.sourceofficefurniture.ca/
source office furniture saskatoon,390,MEDIUM,1,118.6,LANDING(home),navigational,https://www.sourceofficefurniture.ca/office-furniture-saskatoon-saskatchewan
executive chair,720,HIGH,3,116.6,COLLECTION,informational,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating/executive-chairs
office chairs calgary,720,HIGH,6,116.6,COLLECTION,navigational,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating/executive-chairs
office chair near me,2400,HIGH,9,112.6,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating
chair mat,1600,HIGH,5,105.4,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/office-accessories/office-and-desk-accessories/chair-mats
source canada,1000,MEDIUM,5,97.3,LANDING(home),informational,https://www.sourceofficefurniture.ca/
corner desk canada,320,HIGH,2,97.3,COLLECTION,navigational,https://www.sourceofficefurniture.ca/shop/desks-and-workstations/corner-and-l-shaped-desks
office credenza,320,HIGH,2,97.3,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/bookshelves-and-storage/credenzas
office furniture canada,320,HIGH,4,97.3,COLLECTION,navigational,https://www.sourceofficefurniture.ca/shop/desks-and-workstations
office furniture store near me,320,HIGH,4,97.3,LANDING(home),navigational,https://www.sourceofficefurniture.ca/office-furniture-regina-saskatchewan
source office furniture kelowna,320,MEDIUM,1,97.3,LANDING(home),navigational,https://www.sourceofficefurniture.ca/office-furniture-kelowna-british-columbia
source office furniture regina,320,MEDIUM,1,97.3,LANDING(home),navigational,https://www.sourceofficefurniture.ca/office-furniture-regina-saskatchewan
