keyword,volume,kd,position,etv,type,intent,url
portable monitor,6600,HIGH,6,309.5,LANDING(home),transactional,https://www.staples.ca/search?query=portable%20monitor
office chair mat,1900,HIGH,2,307.8,COLLECTION,transactional,https://www.staples.ca/collections/chairmats-69
filing cabinet lockable,1000,HIGH,2,304,LANDING(home),transactional,https://www.staples.ca/search?query=locking%20file%20cabinets
office chair rug mat,1000,HIGH,1,304,COLLECTION,transactional,https://www.staples.ca/collections/chairmats-69
staples gaming chair,1000,HIGH,1,304,COLLECTION,transactional,https://www.staples.ca/collections/gaming-chairs-6877
office with chairs,33100,HIGH,16,301.2,COLLECTION,commercial,https://www.staples.ca/collections/office-chairs-65
ipad tablets on sale,2900,HIGH,3,282.2,COLLECTION,transactional,https://www.staples.ca/collections/ipads-tablets-104
desk chair that reclines,880,HIGH,2,267.5,LANDING(home),transactional,https://www.staples.ca/search?query=reclining%20office%20chair%20
drafting chair,880,HIGH,1,267.5,COLLECTION,transactional,https://www.staples.ca/collections/stools-drafting-chairs-6876
executive office chair,880,HIGH,1,267.5,COLLECTION,transactional,https://www.staples.ca/collections/executive-manager-chairs-8922
office chair that reclines,880,HIGH,2,267.5,LANDING(home),transactional,https://www.staples.ca/search?query=reclining%20office%20chair%20
portable projector screen,880,HIGH,2,267.5,COLLECTION,transactional,https://www.staples.ca/collections/projector-screens-6658
staples tablets,880,HIGH,1,267.5,COLLECTION,transactional,https://www.staples.ca/collections/android-tablets-106
tablet with keyboard,880,HIGH,2,267.5,LANDING(home),transactional,https://www.staples.ca/search?query=tablet%20with%20keyboard
