keyword,volume,kd,position,etv,type,intent,url
fireproof file cabinet,390,HIGH,4,37.9,COLLECTION,transactional,https://atwork.ca/shop/filing-storage/fire-resistant-security/gardex-classique-25-4-dwr-fire-resistant-legal/
fireproof file cabinet safe,390,HIGH,5,37.9,COLLECTION,transactional,https://atwork.ca/shop/filing-storage/fire-resistant-security/gardex-classique-25-4-dwr-fire-resistant-legal/
icon office environments,210,LOW,2,34.0,LANDING,navigational,https://atwork.ca/brand/icon-office-environments_canada/
gardex,1000,LOW,7,33.8,LANDING,informational,https://atwork.ca/brand/gardex_canada/
jeff's atwork office furniture,110,LOW,1,33.4,LANDING,navigational,https://atwork.ca/locations/jeffs-atwork-office-furniture-brantford-hamilton-niagara/
office cubicles canada,110,HIGH,1,33.4,COLLECTION,navigational,https://atwork.ca/product-category/office-cubicles-panels/cubicles/
office furniture london ontario,110,HIGH,1,33.4,LANDING,navigational,https://atwork.ca/locations/lovers-atwork-office-furniture-london-ontario/
workplace desks,1300,HIGH,9,33.3,COLLECTION,transactional,https://atwork.ca/product-category/desks/
desk chairs big and tall,480,HIGH,5,31.6,COLLECTION,transactional,https://atwork.ca/product-category/office_chairs/big-tall/
office furniture store near me,320,HIGH,6,31.1,LANDING,navigational,https://atwork.ca/locations/office-furniture-regina-canada/
office couch,590,HIGH,6,27.7,COLLECTION,transactional,https://atwork.ca/shop/office_chairs/lounge-reception/osp-atlantic-3-seat-sofa-charging-station/
belair office products,170,LOW,2,27.5,LANDING,navigational,https://atwork.ca/brand/belair-office-products_canada/
meeting table,170,HIGH,3,27.5,COLLECTION,transactional,https://atwork.ca/product-category/tables/boardroom-conference-tables/
offices furniture,5400,HIGH,19,27.5,LANDING(home),transactional,https://atwork.ca/
reception desk modern,170,HIGH,3,27.5,COLLECTION,navigational,https://atwork.ca/product-category/desks/reception-desks/
breakroom furniture,90,MEDIUM,1,27.4,COLLECTION,transactional,https://atwork.ca/product-category/tables/lunchroom-breakroom-cafe/
modern office cubicles,90,HIGH,1,27.4,COLLECTION,transactional,https://atwork.ca/product-category/office-cubicles-panels/cubicles/
office furniture for lease,90,HIGH,4,27.4,LANDING(home),commercial,https://atwork.ca/office-furniture-leasing-available/
reception desk salon,90,HIGH,3,27.4,COLLECTION,navigational,https://atwork.ca/shop/desks/reception-desks/salon-reception-desk-straight-all-sizes-finishes/
used office furniture hamilton,90,HIGH,3,27.4,LANDING(home),commercial,https://atwork.ca/used-office-furniture-deals/
white reception desk,90,HIGH,1,27.4,COLLECTION,commercial,https://atwork.ca/product-category/desks/reception-desks/
fire resistant file cabinet,390,HIGH,6,25.7,COLLECTION,transactional,https://atwork.ca/shop/filing-storage/fire-resistant-security/gardex-classique-25-4-dwr-fire-resistant-legal/
cubicles canada,110,HIGH,1,25.4,COLLECTION,navigational,https://atwork.ca/product-category/office-cubicles-panels/cubicles/
inbox booths,260,HIGH,3,25.3,LANDING,navigational,https://atwork.ca/wp-content/uploads/2024/02/Inbox-Booths-PRODUCT-GUIDE-2024.pdf
herman miller canada,2900,HIGH,17,24.8,COLLECTION,navigational,https://atwork.ca/shop/office_chairs/task_office_chairs/reconditioned-herman-miller-aeron-office-chairs/
office desk reception,140,HIGH,3,22.7,COLLECTION,informational,https://atwork.ca/product-category/desks/reception-desks/
office reception counters,140,HIGH,4,22.7,COLLECTION,navigational,https://atwork.ca/product-category/desks/reception-desks/
reception table,140,HIGH,3,22.7,COLLECTION,transactional,https://atwork.ca/product-category/desks/reception-desks/
half lockers,70,HIGH,3,21.3,COLLECTION,transactional,https://atwork.ca/shop/lockers/metal-lockers/half-door/unilocker-half-door-lockers/
icon q2,70,HIGH,1,21.3,COLLECTION,informational,https://atwork.ca/shop/office_chairs/top-rated-office-chairs/icon-q2-mesh-back-task-chair-all-finishes/
